"Classification","xDim","yDim"
"CD68",42.2250000000004,0.475000000000364
"Neither",224.025,0.475000000000364
"PanCK",457.424999999999,1.07500000000073
"PanCK",384.525,1.17500000000109
"PanCK",368.324999999999,0.875
"CD68",145.225,-0.725000000000364
"Neither",153.324999999999,1.47500000000036
"Neither",230.824999999999,1.67500000000109
"Neither",2.02499999999964,0.0750000000007276
"CD68",309.525,0.0750000000007276
"PanCK",498.324999999999,1.27499999999964
"CD68",180.525,1.875
"Neither",240.824999999999,3.57500000000073
"Neither",354.424999999999,4.17500000000109
"Neither",10.125,0.975000000000364
"Neither",49.625,1.97500000000036
"Neither",278.125,1.07500000000073
"Neither",345.424999999999,3.57500000000073
"Neither",64.8249999999989,1.27499999999964
"CD68",172.725,3.47500000000036
"Neither",417.525,2.47500000000036
"Neither",188.025,4.27499999999964
"Neither",291.625,2.27499999999964
"Neither",99.125,3.77499999999964
"CD68",317.125,2.27499999999964
"Neither",116.625,3.57500000000073
"Neither",256.525,3.875
"Neither",136.725,2.375
"CD68",300.525,5.07500000000073
"PanCK",444.025,3.875
"PanCK",375.424999999999,3.375
"PanCK",431.525,2.07500000000073
"PanCK",438.225,5.97500000000036
"PanCK",473.025,4.97500000000036
"PanCK",207.824999999999,4.97500000000036
"Neither",108.424999999999,4.27499999999964
"PanCK",362.625,5.47500000000036
"Neither",69.4249999999993,5.77499999999964
"Neither",89.8249999999989,5.57500000000073
"CD68",141.625,6.27499999999964
"PanCK",218.125,4.47500000000036
"Neither",391.525,6.07500000000073
"Neither",76.4249999999993,6.47500000000036
"Neither",32.8249999999989,4.97500000000036
"Neither",266.025,6.67500000000109
"PanCK",429.125,8.67500000000109
"Neither",133.125,7.27499999999964
"Neither",277.525,6.375
"Neither",323.625,6.97500000000036
"CD68: PD-L1",332.824999999999,7.27499999999964
"Neither",408.225,6.57500000000073
"CD68",13.625,6.57500000000073
"PanCK",451.025,11.1750000000011
"PanCK",482.025,7.77499999999964
"Neither",1.125,7.17500000000109
"Neither",83.3249999999989,7.875
"Neither",7.32499999999891,8.375
"Neither",124.625,8.07500000000073
"Neither",290.924999999999,8.27499999999964
"PanCK",376.625,8.57500000000073
"PanCK",213.924999999999,9.17500000000109
"PanCK",421.424999999999,10.875
"Neither",25.625,9.27499999999964
"Neither",158.125,8.47500000000036
"PanCK",308.324999999999,9.67500000000109
"Neither",102.324999999999,10.375
"Neither",169.225,8.375
"PanCK",316.125,12.375
"Neither",369.525,8.97500000000036
"Neither",249.625,9.67500000000109
"Neither",176.924999999999,11.875
"Neither",232.025,8.57500000000073
"Neither",282.324999999999,11.7749999999996
"Neither",197.824999999999,13.7749999999996
"Neither",227.125,9.97500000000036
"PanCK",468.125,10.5750000000007
"Neither",47.4249999999993,10.6750000000011
"Neither",162.525,9.97500000000036
"Neither",219.725,13.2749999999996
"Neither",112.725,13.2749999999996
"PanCK",205.125,11.7749999999996
"Neither",270.725,12.375
"Neither",401.025,11.4750000000004
"CD68",35.625,16.5750000000007
"Neither",354.125,11.4750000000004
"PanCK",433.824999999999,13.9750000000004
"Neither",64.3249999999989,11.375
"Neither",165.924999999999,12.875
"PanCK",236.324999999999,13.875
"Neither",362.025,13.875
"Neither",299.525,12.9750000000004
"CD68",392.025,15.375
"CD68",142.824999999999,16.1750000000011
"Neither",339.725,13.2749999999996
"Neither",129.625,14.9750000000004
"Neither",381.924999999999,15.9750000000004
"CD68",14.0249999999996,15.375
"Neither",52.0249999999996,14.7749999999996
"Neither",73.0249999999996,15.9750000000004
"Neither",120.625,17.2749999999996
"PanCK",469.225,18.4750000000004
"PanCK",477.525,23.875
"CD68",151.025,16.375
"PanCK",439.824999999999,18.375
"Neither",254.824999999999,15.6750000000011
"Neither",354.324999999999,17.0750000000007
"Neither",82.2250000000004,14.875
"Neither",370.225,18.2749999999996
"Neither",56.0249999999996,18.7749999999996
"PanCK",210.125,19.7749999999996
