Classification,Centroid X µm,Centroid Y µm
SOX2,46.19,123.01
SOX2,234.26,123.94
SOX2: Ki67,280.9,124.87
Neither,386.44,126.76
SOX2,68.87,126.77
SOX2,185.46,127.38
SOX2,267.08,129.72
SOX2,238.78,129.8
SOX2: Ki67,251.09,128.83
SOX2: Ki67,260.41,128.52
SOX2,306.19,127.06
SOX2,58.03,129.17
Neither,211.06,128.19
SOX2,217.29,130.21
SOX2,40.09,128.31
SOX2,19.26,132.07
SOX2,27.92,130.17
Neither,148.24,130.82
SOX2,9.878,132.4
SOX2,173.94,133.54
Iba1,410.86,131.36
SOX2,272.34,134.1
SOX2,302.75,132.81
SOX2,132.61,133.41
SOX2,221.45,135.47
SOX2,48.5,132.75
SOX2,33.65,136.12
SOX2,198.68,134.35
Neither,441.52,134.82
SOX2,42.14,135.42
Neither,82.57,136.31
SOX2,252.85,136.6
SOX2,259.84,135.3
SOX2,183.3,137.23
SOX2,208.9,137.03
SOX2,97.92,136.35
SOX2,62.37,138.21
Neither,159,136.85
SOX2,241.99,136.75
SOX2,24.48,138.2
SOX2,51.85,139.66
SOX2,190.95,141.43
SOX2,236.39,141.97
SOX2: Ki67,250.39,144.88
Neither,340.11,142.65
Iba1,330.88,142.7
SOX2,262.89,140.84
Neither,322.97,140.54
SOX2,39.3,143.43
SOX2,201.73,143.81
SOX2,169.36,146.51
SOX2,271.2,144.69
SOX2,68.66,144.7
Neither,104.49,145.59
SOX2,9.419,145.26
Neither,317.85,147.44
SOX2,220.7,149.43
SOX2,260.83,146.25
SOX2,16.99,146.71
Neither,81.72,146.42
SOX2,186.74,147.42
SOX2,181.07,150.56
SOX2,43.14,151.55
SOX2,241.77,151.22
SOX2,199.36,152.5
Neither,399.88,151.02
SOX2,268.02,150.81
Iba1,294.61,151.63
SOX2,229.47,151.75
Neither,261.96,152.69
SOX2,83.64,152.97
SOX2,274.89,153.81
SOX2,161.14,156.44
SOX2,186.42,157.14
SOX2,171.75,156.42
SOX2,281.19,156.24
SOX2,6.086,157.82
SOX2,16.12,157.05
SOX2,221.44,158.98
Iba1,105.44,158.78
SOX2,245.56,159.15
SOX2,263.97,158.03
Neither,423.64,161.16
Iba1,112.35,160.33
Neither,287.07,162.06
SOX2,401.4,160.74
Neither,295.42,160.82
SOX2: Ki67,46.52,163.18
SOX2,77.99,161.27
Neither,139.86,163
SOX2,203.96,164.05
SOX2,120.94,163.59
SOX2,174.31,164.68
Neither,268.24,162.47
SOX2,192.18,162.23
SOX2,253.53,163.41
Iba1,411.41,163.71
Neither,435.99,162.55
Neither,26.23,162.47
Iba1,100.07,163.73
SOX2,154.04,166.11
Neither,367.44,163.2
SOX2: Ki67,34.79,163.48
Iba1,3.002,166.74
SOX2,19.11,167.72
Iba1,238.94,166.68
Neither,300.43,167.66
SOX2,180.65,167.74
Neither,395.09,168.85
SOX2,225.87,168.92
Iba1: Ki67,30.04,168.19
SOX2: Ki67,245.89,171.84
SOX2,67.67,168.78
Neither,373.05,171.31
SOX2,100.03,171.19
SOX2,163.44,172.01
Iba1,402.55,172.72
SOX2,92.21,171.72
SOX2,234.19,173.34
SOX2,109.28,171.98
SOX2,220.67,175.35
SOX2,364.32,173.26
SOX2,171.25,175.76
Iba1: Ki67,26.65,175.02
SOX2,56.56,174.41
Iba1,184.19,176.59
SOX2: Ki67,260.06,177.56
SOX2,332.36,175.31
SOX2,341.2,176.06
SOX2,156.6,180.13
SOX2,205.71,176.46
SOX2,380.21,176.87
Neither,436.94,176.63
SOX2,388.45,177.77
SOX2,34.83,178.31
SOX2,5.975,177.29
Neither,348.9,178.78
SOX2,72.46,178.97
Iba1,85.45,178.45
SOX2,64.61,179.52
SOX2,197.25,180.53
Iba1: Ki67,105.14,179.49
SOX2: Ki67,119.01,180.26
SOX2,358.99,180.22
SOX2,299.6,180.4
SOX2,14.89,179.8
SOX2,267.2,183.14
Neither,397.13,180.67
SOX2,325.5,183.27
SOX2,247.24,180.33
SOX2,54.55,184.02
Neither,372.53,180.32
SOX2,425.06,182.27
Iba1,417.88,180.75
SOX2,96.24,181.67
SOX2,371.28,187.41
Neither,440.59,184.83
SOX2,204.94,184.59
Neither,445.77,182.29
SOX2,91.96,187.15
SOX2,252.11,186.38
Iba1,413.93,183.41
SOX2,219.49,187.31
SOX2,211.21,185.54
Neither,382.55,185.29
Neither,407.71,185.04
SOX2,20.28,187.06
SOX2: Ki67,432.45,186.72
SOX2,12.81,188.24
SOX2,175.78,186.6
SOX2,244.08,191.42
SOX2,393.66,186.77
Neither,104.89,187.7
SOX2: Ki67,125.98,187.08
SOX2,161.1,188.49
SOX2: Ki67,258.32,189.8
Iba1,298.72,188.68
Neither,6.535,193.06
SOX2,147.08,188.43
SOX2,281.81,188.75
SOX2: Ki67,402.72,191.14
Iba1,445.55,193.47
Neither,360.31,190.83
SOX2,65.27,191.16
SOX2,419.06,190.94
SOX2,203.46,191.98
SOX2,153.78,192.15
Iba1,192.47,191.69
SOX2,186.98,194.37
Neither,385.75,194.1
SOX2,177.45,196.06
SOX2,210.93,196.66
SOX2,54.6,194.95
Neither,288.98,194.61
SOX2,302.77,194.95
Neither,414.69,195.6
SOX2,117.02,197.46
SOX2,437.93,196.51
Iba1: Ki67,199.13,196.31
SOX2,146.35,198.8
SOX2,160.79,197.15
Neither,127.14,197.36
SOX2,317.12,198.83
SOX2,293.87,199.34
Neither,101.11,200.58
SOX2,244.16,202.16
SOX2: Ki67,407.13,198.48
Neither,269.36,198.45
Neither,372.02,199.09
SOX2,38.82,201.2
Neither,91.81,199.2
Neither: Ki67,400.37,200.81
SOX2,154.26,200.79
SOX2,220.98,203.77
SOX2,420.9,201.71
Neither,176.7,201.25
Neither,253.61,202.71
Neither,275.75,201.47
Neither,82.08,203.98
Neither,264.52,200.23
SOX2,304.72,202.07
SOX2: Ki67,412.3,204.71
Neither,393.64,203.13
Neither,161,204.27
Iba1,200.27,203.02
SOX2,214.23,204.81
Neither,123.78,202.65
SOX2,171.86,210.54
Neither,260.99,209.85
SOX2,51.35,205.28
SOX2,442.57,205.69
SOX2,32.01,204.83
Neither,428.12,203.86
Neither,74.16,203.93
SOX2,189.95,207.8
SOX2,331.31,204.54
SOX2,296.4,205.49
Neither,126.68,207.12
SOX2,377.7,209.95
Neither,387.6,205.46
Iba1,44.33,210.14
Neither,269.8,206.18
SOX2,321.07,208.02
Neither,112.13,207.42
SOX2: Ki67,308.65,209.37
Neither,89.29,210.48
Neither,362.87,207.13
SOX2,404.19,210.29
Neither,9.114,207.6
SOX2,204.64,209.88
SOX2,282.03,208.58
SOX2,368.81,208.31
Neither,267.78,212.12
Iba1,353.96,209.92
SOX2,384.17,209.06
Neither,426.31,209.11
SOX2,295.62,212.05
Neither,435.63,210.03
Neither,273.99,211.3
Neither,157.9,211.03
Neither,331.2,213.89
Neither,3.51,213.05
Neither,72.4,213.19
SOX2,198.32,215.14
SOX2,241.73,211.75
Neither,361.43,212.7
SOX2,392.01,217.32
SOX2,443.34,215.32
SOX2,370.9,213.41
SOX2,347.04,215.63
SOX2,116.3,213.38
Neither,415.81,212.55
Neither,431.46,215.77
SOX2,383.7,214.39
Neither,423.08,215.53
Neither,288.57,217.84
Neither,10.15,215.49
SOX2,52.65,215.82
Neither,358.76,217.1
Neither,279.63,216.42
SOX2,24.88,219.81
SOX2,152.59,217.01
SOX2,413.59,218.7
Iba1,60.19,218.95
SOX2,214.08,217.28
SOX2,206.36,219.52
SOX2,42.25,219.67
SOX2,304.53,221.05
Neither,371.45,221.34
SOX2,403.51,220.97
SOX2,86.69,220.61
SOX2,115.06,219.57
SOX2,244.46,221.19
SOX2,163.2,221.9
Neither,96.71,220.12
SOX2,33.95,221.41
SOX2,227.41,223.13
Neither,10.92,225.5
SOX2,105.77,223.51
SOX2,176.71,224.43
Neither,362.35,223.73
Iba1,260.86,222.45
SOX2,153.89,225.54
Neither,277.41,224.26
SOX2,28.68,226.89
Neither,354.05,225.83
Iba1,213.04,227.97
SOX2,73.52,226.72
Iba1,414.92,227.18
Neither,118.69,227.31
SOX2,190.95,226.27
SOX2,146.45,228.57
SOX2,220.62,228.35
SOX2,63.92,231.01
SOX2,266.52,228.97
Neither,312.38,228.74
SOX2,258.69,230.65
Neither,4.63,231.51
SOX2,133.72,231.42
SOX2,250.21,228.89
SOX2,91.5,233.23
SOX2,275.65,230.76
Neither,336.03,231.66
SOX2,52.68,231.69
Neither,380.88,229.59
SOX2,20.72,233.17
SOX2,185.69,231.72
Neither,371.69,231.55
Iba1,349.24,237.01
SOX2,33.61,234.19
Neither,113.86,234.38
Neither,359.34,232.73
SOX2,179.37,233.62
SOX2,202.13,233.38
SOX2,194.38,236.52
SOX2,425.5,233.4
SOX2,174.23,235.8
Neither,315.18,234.53
SOX2,226.53,236.66
SOX2,232.67,236.81
Neither,389.88,235.89
SOX2,417.06,237.67
SOX2,77.77,239.83
SOX2,269.57,236.07
SOX2,299.12,235.75
SOX2,219.38,236.96
Neither,365.43,240.5
SOX2: Ki67,166.28,237.46
Neither,283.15,236.58
SOX2,141.8,237.5
SOX2,149.99,237.79
SOX2,255.61,237.3
Neither,275.32,236.83
SOX2,239.25,236.93
Neither,375.74,241.36
SOX2,154.72,243.32
SOX2,184.46,242.18
SOX2: Ki67,264.71,243.6
Iba1,1.978,241.13
Neither,320.84,241.07
SOX2,68.25,242.41
Iba1,132.1,243.49
SOX2,241.9,241.54
SOX2,310.96,246.4
SOX2,88.94,243.55
SOX2,424.66,241.95
Iba1,19.79,242.75
Neither,214.23,241.02
SOX2,294.4,241.03
Neither,274.68,242.1
Iba1,430.43,244.87
SOX2,289.08,243.34
Neither,386.34,242.89
SOX2,9.495,246.51
SOX2,108.28,247.55
SOX2,281.21,244.25
Neither,300.19,245.61
SOX2,162.85,245.22
Neither,395.76,244.45
SOX2,175.71,246.15
SOX2,223.47,247.33
SOX2,209.93,245.81
Neither,115.55,245.87
Neither,359.15,244.9
Neither,326.48,247
Neither,404.81,250.97
SOX2,242.94,249.86
SOX2,33.84,247.1
SOX2,58.02,248.13
Iba1,25.23,248.45
SOX2,49.88,248.78
Neither,418.86,249.97
SOX2,294.54,248.76
Neither,388.05,247.88
SOX2,98.07,251.59
SOX2,188.56,251.02
Neither,278.82,249.49
Iba1,341.93,251.84
Neither,360.75,253.62
SOX2,74.77,251.58
Iba1,18.37,251.32
Neither,382.1,251.4
Neither,391.57,253.21
SOX2,212.84,252.33
SOX2,167.48,253.83
Neither,289.28,253.21
Neither,334.25,254.36
SOX2,55.2,256.48
SOX2: Ki67,157.64,256.29
Neither,266.87,254.15
Neither,273.39,255.06
Neither,106.25,256.5
SOX2: Ki67,227.15,256.73
Neither,280.37,259.59
Iba1,81.99,257.6
SOX2: Ki67,218.13,256.06
SOX2,4.204,258.04
SOX2,422.09,260.5
SOX2,207.5,257.97
SOX2,16.46,261.74
SOX2,89.56,258.12
SOX2,191.66,258.92
SOX2: Ki67,150.42,260.22
Neither,181.04,260.03
Neither,302.28,259.54
Neither,110.53,260.05
SOX2,119.59,260.09
SOX2,143.55,261.95
SOX2,40.01,261.94
Iba1,199.05,262.5
SOX2: Ki67,155.15,262.81
Neither,259.8,260.02
SOX2,333.08,263.85
Neither,268.39,261.16
Neither,250.17,262.49
SOX2,223.32,262.93
SOX2,340.38,262.09
Neither,29.95,263.3
Neither,237.5,261.09
SOX2,169.01,265.17
Neither,310.56,263.95
SOX2,215.59,266.68
Neither,371.84,263.31
SOX2: Ki67,54.75,265.28
Neither,273.85,267.4
Neither,231.73,263.52
Neither,245.68,265.79
Neither,263.62,265.87
SOX2,346.74,266.26
Neither,288.22,264.04
SOX2,119.97,268.56
Neither,240.69,266.97
Neither,257.47,266.96
SOX2,3.094,266.68
Neither,70.72,267.27
SOX2,88.11,265.94
Neither,362.86,267.04
Iba1,427.74,270.81
SOX2,79.84,267.82
SOX2,111.7,268.72
SOX2,46.49,267.7
SOX2,312.66,274.27
SOX2,378.51,271.29
SOX2,159.05,269.84
SOX2,9.354,271.95
SOX2,94.42,269.51
Neither,282.15,270.66
SOX2,230.43,270.59
Neither,288.84,269.89
SOX2,178.22,270.78
SOX2,325.93,270.38
SOX2,406.35,269.95
SOX2,84.64,275.74
SOX2,145.38,271.63
SOX2,22.12,274.39
Neither,189.16,271.41
Neither,268.5,273.38
SOX2,342.64,273.69
SOX2,416.45,272.76
SOX2,255.77,273.79
Neither,103.7,271.84
SOX2,60.22,273.48
Neither,297.27,272.08
Neither,246.33,273.06
SOX2,336.27,275.55
SOX2,47.28,274.16
SOX2,359.47,276.57
SOX2,71.15,274.99
SOX2,40.05,275.5
Neither,322.89,277.12
Neither,303.9,278.31
SOX2,279.97,278.64
Neither,239.14,276.27
Neither,108,276.75
SOX2,209.17,278.53
Neither,244.56,277.58
SOX2,51.26,277
Neither,117.41,279.1
SOX2,153.7,278.03
SOX2,217.48,278.57
Neither,263.38,279.37
SOX2: Ki67,63.93,278.89
Neither,196.23,278.41
SOX2,227.66,278.93
Neither,251.53,278.3
SOX2,392.09,277.07
SOX2,165.04,279.24
SOX2,330.49,281.75
Neither,349.48,279.2
SOX2,403.8,281.41
Neither,295.02,277.89
Neither,368.13,281.02
SOX2,289.19,280.04
SOX2,3.524,279.99
SOX2,71.57,281.11
Neither,271.62,282.96
SOX2,32.68,284.27
Neither,182.25,281.17
Neither,377.08,281.5
Neither,15.37,282.82
SOX2,106.52,283.93
Neither,240.77,283.25
Neither,219.72,284.55
Neither,245.81,282.67
SOX2,52.85,284.38
SOX2,148.24,281.01
SOX2,87.3,283.37
SOX2,140.58,284.4
SOX2,299.34,284.83
SOX2: Ki67,317.13,283.81
Neither,233.85,284.22
SOX2,59.4,283.28
Neither,189.38,284.73
SOX2,155.51,284.31
SOX2,323.89,287.86
SOX2,45.13,283.82
Neither,171.38,284.1
Neither,252.26,285.68
SOX2,385.1,286.74
Neither,392.54,285.14
SOX2,64.82,287.4
Neither,203.9,285.92
SOX2,348.26,287.11
SOX2: Ki67,149.74,289.4
Neither,224.28,286.89
Neither,260.19,287.25
Neither,338.3,286.78
SOX2,283.4,288.78
Neither,118.3,288.83
SOX2: Ki67,374.97,291.45
Neither,197.05,287.34
SOX2,92.34,288.78
Neither,175.12,288.92
SOX2,358.25,291.26
Neither,43.5,288.9
Neither,238.45,289.06
SOX2,316.88,293.57
SOX2,23.25,290.33
Neither,78.64,288.87
Neither,212.16,292.98
SOX2,306.34,291.19
SOX2,100.62,294.85
Neither,200.87,292.66
Neither,109.33,291.6
SOX2,291.7,291.22
Neither,125.86,295.72
Neither,164.39,290.78
Neither,390.59,292.17
SOX2,298.36,292.44
Neither,84.96,294.14
Neither: Ki67,191.11,292.27
Neither,252.73,293.39
Neither,135.25,294.19
Iba1,232.37,294.62
Neither,71.75,293.99
Neither,267.45,293.78
SOX2,51.6,294.96
Neither,183.37,292.59
Neither,226.3,295.95
SOX2,438.96,294.04
Iba1,145.25,297.36
SOX2,5.571,296.3
SOX2,40.87,295.61
Neither,219.93,296.9
Neither,62.13,295.83
Neither,168.19,296.8
SOX2,312.32,297.45
SOX2,30.04,297.57
Neither,111.79,297.72
Neither,177.62,299.06
Neither,248.39,298.58
Neither,273.71,300.77
Neither,189.69,299.76
SOX2,287.89,301.01
Neither,204.89,299.27
SOX2,299.07,302.16
Neither,394.82,301.06
SOX2,18.79,298.87
SOX2,352.92,301.49
SOX2,57.4,302.99
Neither,119.05,302.33
SOX2,310.07,303.82
SOX2,435.9,302.26
SOX2,47.11,302.07
Neither,326.94,301.31
Neither,137.1,302.24
SOX2,384.3,303.31
SOX2,413.76,305.13
Neither,157.87,303.66
SOX2,342.97,302.31
SOX2,318.94,303.71
SOX2,39.39,304.06
Neither,201.08,305.12
Neither,83.8,303.53
Neither,113.5,304.65
SOX2,12.64,303.57
Iba1,215.11,304.02
SOX2,336.39,305.06
SOX2,423.56,306.57
SOX2,23.44,304.08
Neither,166.47,304.11
Iba1,31.72,305.89
Neither,142.64,305.06
SOX2,5.773,306.92
Neither,181.56,306.58
SOX2,18.44,308.79
Neither,252,307.15
SOX2,324.98,307.68
Neither,190.14,308.37
Neither,128.45,306.41
Iba1,206.56,308.76
SOX2,279.96,312.87
Neither,172.64,308.18
SOX2,97.42,310.65
Neither,106.64,306.47
Neither,231.41,307.39
SOX2,393.45,310.15
Neither,295.45,309.49
SOX2,25.07,311.17
Neither,224.8,310.65
Neither,373.55,308.98
Neither,137.67,309.91
SOX2,11.19,312.37
Iba1,85.96,310.55
Iba1,213.62,312.3
SOX2,61.33,309.95
SOX2,121.23,310.31
Neither,164.29,310.2
SOX2,332.26,312.93
SOX2,110.03,310.4
Neither,77.75,312.81
Neither,238.72,311.78
SOX2,406.37,314.8
SOX2,441.9,311.84
SOX2: Ki67,44.34,311.55
SOX2,362.72,311.27
Neither,310.04,311.32
SOX2,435.26,314.61
Neither,246.51,312.93
Neither,303.72,314.21
SOX2,115.08,313.21
Neither,131.5,313.46
SOX2,341.39,316.19
Neither,220.94,315.42
SOX2,125.87,314.53
Neither,193.59,314.09
Neither,324.98,315.55
SOX2,428.45,317.08
Neither,156.98,314.15
Neither,178.02,316.43
SOX2,33.37,316.58
SOX2,291.37,315.69
SOX2,383.05,317.59
SOX2,5.077,316.37
Iba1,54.07,314.75
SOX2,60.62,316.42
Neither,197.92,318.22
SOX2,110.38,317.27
Neither,167.1,317.8
SOX2,359.44,317.83
SOX2,369.52,316.51
Neither,311.99,318.14
Neither,187.31,318.91
SOX2,47.02,318.41
Iba1,56.93,319.9
Neither,135.36,320.03
SOX2,374.78,322.67
Neither,122.45,319.13
Neither,208.43,318.81
SOX2,83.73,321.18
SOX2,399.49,321.56
SOX2,64.74,319.39
Neither,245.17,322.88
Neither,271.36,320.87
Neither,203.59,323.64
Neither,237.36,321.93
SOX2,70.72,323.37
Neither,227.09,323.05
SOX2,3.621,322.94
SOX2,105.44,323.97
Neither,158.18,322.28
SOX2,355.21,325.11
Neither,217.1,322.68
Neither,287.5,323.55
SOX2,42.13,327.46
SOX2,413.77,323.7
SOX2,52.89,324.39
Neither,121.05,324.39
Neither,178.35,324.96
Neither,27.15,327.42
SOX2,409.17,324.27
Neither,444.25,326.42
Neither,166.93,326.96
