Classification,Centroid X µm,Centroid Y µm
SOX2: Ki67,163.92,3.648
SOX2,174.92,2.59
SOX2,261.86,1.674
SOX2,283.86,1.222
SOX2,300.56,2.644
SOX2,308.45,2.839
SOX2,321.65,1.351
SOX2,329.68,4.248
SOX2,411.52,3.393
SOX2,419.48,2.659
SOX2,4.673,3.471
SOX2,36.79,6.288
SOX2,238.72,2.652
SOX2,277.11,3.764
SOX2,316.39,3.334
SOX2,444.02,4.957
SOX2,64.29,5.169
SOX2,232.1,3.558
SOX2,256.21,5.24
SOX2,148.22,5.885
SOX2,288.53,4.011
SOX2,246.51,7.687
Iba1,130.15,6.514
Neither,156.73,7.69
SOX2,199.71,7.996
SOX2,268.09,6.687
SOX2,284.63,9.006
SOX2: Ki67,302.52,10.21
SOX2,318.27,10.78
SOX2,338.18,7.357
SOX2,416.88,11.33
SOX2,231.19,13.33
SOX2,308.75,12.29
SOX2,207.23,11.68
Iba1,138.9,9.888
Iba1,133.56,12.87
SOX2: Ki67,8.627,13.25
Iba1: Ki67,31.38,12.9
Iba1,143.16,13.61
SOX2,50.22,14.35
SOX2,263.92,13.68
SOX2,277.52,13.14
SOX2,294.13,13.23
SOX2,405.39,16.05
SOX2,340.4,13.03
SOX2,441.01,12.92
Neither,61.26,15.37
SOX2,15.8,17.11
SOX2,431.24,15.84
SOX2,395.07,14.6
SOX2,114.02,16.13
SOX2,387.77,16.87
Iba1,349,18.73
SOX2,24.22,16.8
Neither,80.98,19.48
SOX2,273.24,19.75
SOX2: Ki67,2.755,22.12
SOX2,257.38,19.44
SOX2: Ki67,311.66,19.88
SOX2,186.76,20.08
SOX2,317.92,22.82
SOX2,296.26,22.45
Neither,148.22,21.28
SOX2,202.71,21.66
SOX2: Ki67,341.76,22.58
SOX2,233.79,22.11
SOX2,219.69,22.69
SOX2,395.95,21.6
SOX2,414.67,21.72
SOX2,54.44,23.94
SOX2,423.92,20.9
Neither,178.52,24.07
SOX2,157.39,26.02
SOX2,195.89,23.94
Neither,266.33,25.39
SOX2,430.12,25.93
SOX2: Ki67,115.73,25.49
SOX2,22.86,26.29
Neither,241.5,27.28
SOX2,250.07,25.52
Iba1: Ki67,391.44,26.35
SOX2,210.11,25.18
SOX2,46.94,26.78
SOX2,139.71,28.02
SOX2,423.45,27.83
SOX2,13.42,27.3
Neither,439.25,29.13
SOX2,257.5,27.07
Neither,416.42,28.25
SOX2,191.14,29.36
SOX2,311.7,29.75
SOX2,409.02,30.69
SOX2,301.54,27.57
Iba1,400.43,29.99
SOX2,203.64,33.48
SOX2,213.36,31.52
Neither,81.21,31.09
Neither,371.49,31.01
SOX2,8.024,30.42
SOX2,59.87,30.62
SOX2,261.16,33.82
SOX2,118.52,33.35
SOX2,290.67,32
SOX2,305.01,34.16
SOX2,251.34,37.07
SOX2,53.83,33.88
SOX2,221.48,35.4
SOX2,233.36,35.11
SOX2: Ki67,297.67,33.89
Neither,420.73,32.82
SOX2: Ki67,445.07,33.98
SOX2,16.12,34.87
SOX2,362.44,36.9
SOX2,392.41,33.84
SOX2,352.77,36.22
SOX2,41.13,35.68
SOX2,183.08,34.28
SOX2,342.51,37.11
Neither,416.4,35.38
Iba1,430.61,41.17
SOX2,6.482,37.56
SOX2,26.14,37.67
SOX2,375.92,38.91
Iba1: Ki67,384.41,37.79
SOX2,398.89,36.92
Neither,174.92,37.05
SOX2,17.99,42.25
SOX2,312.83,38.24
SOX2,47.07,39.92
Neither,82.66,40.04
Iba1,155.34,38.22
SOX2,194.71,38.25
SOX2,241.6,40.99
SOX2,324.13,39.34
SOX2,293.51,41.47
Neither: Ki67,418.3,39.96
SOX2,185.69,41.97
SOX2,403.31,40.29
SOX2,204.75,42.54
SOX2: Ki67,230.07,42.3
SOX2,33.4,41.61
SOX2,170.22,42.17
SOX2: Ki67,222.66,43.37
SOX2,367.33,44.57
Iba1: Ki67,161.75,45.61
Neither,304.13,44.4
SOX2,313.36,44.41
Iba1: Ki67,156.57,44.66
SOX2,396.03,46.9
SOX2: Ki67,7.405,49.15
Iba1,98.44,46.23
SOX2,63.18,45.94
SOX2,136.72,45.03
SOX2,320.47,48.26
Neither,276.49,45.81
Neither,85.73,47.18
SOX2,197.73,47.56
SOX2: Ki67,439.04,49.42
SOX2,71.78,48.94
Neither,128.98,48.82
SOX2,189.92,47.78
SOX2: Ki67,229.55,48.51
SOX2,290.64,48.56
SOX2,29.11,50.54
Neither,298.69,48.72
SOX2,179.46,49.2
SOX2,248.46,50.55
Neither,270.23,50.46
SOX2,223.06,51.66
SOX2,239,52.1
Neither,260.7,52.15
SOX2,402.37,52.57
Neither,91.73,51.38
SOX2,168.31,52.72
SOX2,19.65,51.91
SOX2,445.92,51.88
Neither,85.3,54.37
SOX2,139.4,54.25
SOX2,57.51,56.03
Iba1,425.3,57
SOX2,195.25,54.79
Neither,308.28,54.23
SOX2,203.83,54.9
Neither,297.34,54.74
SOX2,187.2,58.03
SOX2,233.39,58.63
Neither,289.96,56.02
Neither,132.97,57.9
SOX2,367.08,57.4
SOX2,382.4,54.14
SOX2,211.06,57.82
SOX2,352.21,57.37
Neither,270.06,59.67
SOX2,445.39,57.27
SOX2,34.24,59.3
Neither,303.85,58.14
SOX2,19.06,58.69
SOX2: Ki67,176.84,59.87
Neither: Ki67,256.77,63.13
SOX2,244.93,61.09
SOX2,373.92,61.12
Neither,156.41,59.79
SOX2,223.21,61.05
SOX2: Ki67,406.95,59.79
SOX2,45.92,62.13
SOX2,394.11,62
SOX2,358.65,62.87
SOX2,383.2,61.21
Neither,198.37,61.35
SOX2,216.79,60.47
Neither,417.97,63.11
SOX2,166.55,62.47
SOX2,443.12,64.24
SOX2,293.45,65.82
SOX2,309.88,66.29
SOX2,345.8,64.47
SOX2,300.69,65.51
SOX2,127.38,68.17
SOX2,18.31,67.58
SOX2,205.46,68.03
SOX2: Ki67,181.87,67.82
SOX2,232.97,68.36
SOX2,214.51,70.08
Iba1,381.31,68.52
Neither: Ki67,93.15,70.32
SOX2,195.47,70.23
SOX2,335.26,69.6
SOX2,158.59,70.88
SOX2: Ki67,349.38,69.09
Neither,73.55,71.11
SOX2,171.6,71.13
SOX2,325.73,73.81
SOX2,443.34,72.62
SOX2,342.59,71.53
SOX2,186.74,72.69
Neither,356.15,73.71
SOX2,222.26,73.95
SOX2,303.76,74.05
SOX2: Ki67,347.32,76.65
Neither,17.54,74.35
Neither,11.37,76.11
Neither,198.36,77.46
SOX2,158.07,78.47
SOX2,177.79,77.08
SOX2,316.97,77.28
SOX2: Ki67,338.51,79.68
SOX2,206.05,78.05
Iba1,4.544,76.73
Neither,146.96,76.9
SOX2,231.13,79.12
SOX2,329.67,81.58
SOX2,399.84,80.97
SOX2,212.41,82.79
Iba1,355.15,79.63
SOX2,187.26,84.13
SOX2,300.79,81.05
SOX2,308.14,81.1
SOX2,2.521,82.67
SOX2,221.92,82.56
Neither,364.72,80.98
SOX2,42.58,84.88
Neither,83.98,83.42
Neither,150.09,83.36
SOX2,144.73,88.14
SOX2,313.41,84.37
SOX2,177.47,84.24
SOX2,33.54,83.49
SOX2,356.89,87.3
SOX2,159.1,86.59
SOX2,227.87,88.24
SOX2,389.9,88.78
SOX2,202.7,87.88
SOX2,296.66,87.12
SOX2,166.93,87.39
SOX2: Ki67,338.05,93.71
SOX2,15.04,86.13
SOX2,219.02,93.43
SOX2,25.54,90.05
SOX2,32.28,90.21
SOX2,313.6,91.82
SOX2,253.96,90.03
SOX2,8.139,92.35
SOX2,278.24,91.77
SOX2,326.04,91.28
Iba1,127.12,91.27
SOX2,304.15,89.44
SOX2,351.04,93.88
Iba1,51.21,92.4
SOX2,197.77,96.42
SOX2,33.74,98.22
SOX2,344.36,92.91
SOX2,431.31,94.37
SOX2,151.32,95.71
SOX2,302.11,99.27
SOX2,18.81,95.69
SOX2,359.3,95.56
SOX2,242.9,103.27
SOX2,250.3,98.36
SOX2,43.13,97.83
Iba1,233.19,97.64
Iba1,319.78,98.4
SOX2,167.57,98.97
Neither,108.17,99.52
Neither,176.42,98.22
SOX2,136.2,100.17
SOX2,189.33,99.47
SOX2,259.55,99.48
SOX2,212.63,99.54
SOX2,344.89,103.98
SOX2,55.69,102.89
SOX2,155.44,103
SOX2,327.3,103.41
SOX2,4.153,101.92
SOX2,127.3,103.32
SOX2,309.29,108.98
SOX2,23.41,103.43
SOX2,207.37,104.98
SOX2,226.71,104.76
SOX2,163.32,108.71
Iba1,198.87,110.07
SOX2,332.4,110.55
SOX2,7.279,107.2
SOX2,213.89,108.94
Iba1,420.4,109.39
SOX2,13.96,108.02
Iba1: Ki67,261.15,111.4
SOX2,221.04,110.17
Neither,108.04,109.66
SOX2,299.7,112.78
SOX2,38.39,111.12
SOX2,232.51,112.64
SOX2,97.22,112.49
SOX2,22.06,111.14
SOX2,247.6,114.39
SOX2,8.949,115.98
SOX2,15.87,115.59
Neither,46.52,113.52
SOX2,63.36,114.53
SOX2,75.77,116.71
SOX2,239.15,116.52
SOX2,105.3,119.95
SOX2,163.51,122.03
SOX2,49.42,117.6
SOX2,220.83,121.93
SOX2,2.258,120.13
SOX2,55.6,119.56
Iba1,121.56,119.77
SOX2,178.48,120.97
SOX2: Ki67,253.94,120.68
SOX2,289.76,121.88
Neither,325.03,120.22
SOX2,225.65,118.39
SOX2,244.49,122.77
Neither: Ki67,85.96,121.64
Iba1,32.42,121.64
SOX2,62.11,121.2
SOX2,228.99,121.09
Neither,397.42,121.74
SOX2: Ki67,263.22,121.9
SOX2,7.232,124.07
