"Classification","xDim","yDim"
"CD68",487.75,1.5
"PanCK",28.5500000000002,1.59999999999854
"PanCK",162.150000000001,1.59999999999854
"CD68",213.45,0.599999999998545
"PanCK",251.35,1.89999999999782
"PanCK",175.85,8.09999999999854
"CD68",479.55,0.0999999999985448
"PanCK",57.1500000000005,0.700000000000728
"PanCK",241.650000000001,0.0999999999985448
"PanCK",407.85,0.399999999997817
"PanCK",66.6500000000005,1.29999999999927
"Neither",152.35,2.59999999999854
"CD68",496.35,1.09999999999854
"PanCK",383.650000000001,1.20000000000073
"PanCK",522.45,1.39999999999782
"PanCK",599.35,2.20000000000073
"CD68",133.75,4.29999999999927
"PanCK",287.55,8.39999999999782
"Neither",260.05,4.29999999999927
"CD68",325.150000000001,2.5
"CD68",504.45,0.200000000000728
"CD68",319.95,1.39999999999782
"PanCK",550.55,3.20000000000073
"CD68",559.55,2.70000000000073
"PanCK",188.650000000001,2.70000000000073
"Neither",100.35,2.59999999999854
"PanCK",204.45,2.29999999999927
"PanCK",302.05,2.59999999999854
"PanCK",534.55,2.20000000000073
"CD68",566.95,4.39999999999782
"PanCK",39.6500000000005,4.5
"Neither",529.85,3
"CD68",123.150000000001,6
"Neither",274.25,4.70000000000073
"PanCK",442.150000000001,6.70000000000073
"PanCK",473.25,5
"CD68",510.35,6.20000000000073
"PanCK",62.0500000000002,4.89999999999782
"PanCK",184.85,7.70000000000073
"CD68: PD-L1",114.75,8.79999999999927
"PanCK",232.55,8
"PanCK",350.25,5.59999999999854
"Neither",397.25,6.5
"PanCK",10.1500000000005,8.20000000000073
"Neither",329.05,7.39999999999782
"CD68",105.55,11.8999999999978
"CD68",464.85,8.20000000000073
"PanCK",34.0500000000002,7.39999999999782
"CD68",245.55,9.70000000000073
"CD68",407.650000000001,9.20000000000073
"PanCK",49.0500000000002,11.3999999999978
"PanCK",207.45,9.39999999999782
"Neither",544.150000000001,8.39999999999782
"PanCK",196.150000000001,9.70000000000073
"PanCK",303.55,10.2999999999993
"PanCK",377.45,8.70000000000073
"Neither",517.75,9.70000000000073
"Neither",536.150000000001,9.29999999999927
"PanCK",605.35,9
"PanCK",337.05,8.70000000000073
"PanCK",80.25,13
"PanCK",61.75,10.5999999999985
"PanCK",70.8500000000004,8.5
"PanCK",145.650000000001,12.3999999999978
"PanCK",432.85,10.5
"PanCK",614.45,12.2999999999993
"PanCK",156.05,9.89999999999782
"PanCK",312.45,14.2999999999993
"CD68",488.05,11.2000000000007
"Neither",497.85,10.5
"PanCK",91.1500000000005,12.5
"PanCK",343.35,13.5
"PanCK",561.05,13.2000000000007
"Neither",267.650000000001,11.7000000000007
"PanCK",391.55,13.2999999999993
"CD68",477.35,14.7000000000007
"PanCK",362.150000000001,13.2000000000007
"PanCK",403.55,14.2999999999993
"Neither",528.650000000001,14.2000000000007
"PanCK",0.650000000000546,13.8999999999978
"PanCK",34.9499999999998,13.5999999999985
"PanCK",583.55,15.5
"Neither",416.75,13.7999999999993
"PanCK",72.1500000000005,14.0999999999985
"PanCK",135.85,14.8999999999978
"PanCK",123.35,18.2000000000007
"PanCK",378.05,16.2000000000007
"PanCK",97.5500000000002,18.5999999999985
"PanCK",206.650000000001,17.7000000000007
"Neither",505.25,15.7999999999993
"PanCK",155.35,18
"PanCK",544.25,18.2000000000007
"PanCK",574.95,16.5999999999985
"PanCK",189.85,17.7999999999993
"PanCK",218.05,17.3999999999978
"PanCK",462.55,16.7000000000007
"PanCK",232.25,20.0999999999985
"Neither",328.650000000001,16.7000000000007
"PanCK",68.3500000000004,19.2999999999993
"CD68",244.150000000001,19.2000000000007
"Neither",553.05,18.0999999999985
"PanCK",259.55,19.7000000000007
"Neither",496.650000000001,18.3999999999978
"PanCK",518.05,18
"PanCK",59.3500000000004,18.7999999999993
"PanCK",163.650000000001,22.7000000000007
"Neither",295.55,20.7999999999993
"PanCK",367.95,22
"PanCK",385.25,19.2999999999993
"CD68",487.25,19.0999999999985
"Neither",27.9499999999998,18.8999999999978
"PanCK",41.8500000000004,20.7000000000007
"PanCK",344.35,21.5999999999985
"Neither",399.85,18.8999999999978
"PanCK",302.35,19
"PanCK",334.150000000001,23.3999999999978
"PanCK",419.05,20.2999999999993
"CD68",471.05,20.5
"PanCK",510.45,21.0999999999985
"PanCK",533.55,21.3999999999978
"PanCK",172.25,21.8999999999978
"PanCK",87.6500000000005,21
"PanCK",563.85,22.7999999999993
"PanCK",355.650000000001,22.7000000000007
"PanCK",392.95,23.7999999999993
"PanCK",76.6500000000005,22.7000000000007
"PanCK",454.35,22.7000000000007
"PanCK",136.35,24.7000000000007
"PanCK",200.35,25.0999999999985
"PanCK",285.05,25.2999999999993
"PanCK",411.150000000001,23.2999999999993
"CD68: PD-L1",146.75,22.8999999999978
"PanCK",4.15000000000055,25
"CD68",23.75,23.7999999999993
"PanCK",314.650000000001,23.5999999999985
"CD68",106.650000000001,24.7999999999993
"PanCK",180.05,26.7000000000007
"CD68",15.9499999999998,25.0999999999985
"PanCK",302.25,25.5999999999985
"PanCK",573.95,24.0999999999985
"PanCK",57.1500000000005,27.3999999999978
"PanCK",83.6500000000005,25.5
"PanCK",443.75,25.5999999999985
