"Classification","xDim","yDim"
"Neither",140,1.20000000000073
"PanCK",252.4,1.80000000000109
"Neither",70.5999999999995,-0.799999999999272
"Neither",97,1.5
"Neither",18.6999999999998,1.70000000000073
"PanCK",182.2,3.70000000000073
"PanCK",273.5,3.30000000000109
"Neither",123.8,2.80000000000109
"PanCK",168.9,5.30000000000109
"PanCK",233.9,3.60000000000036
"Neither",35.8999999999996,1.70000000000073
"Neither",26.6999999999998,4.80000000000109
"PanCK",195.9,3.5
"Neither",88.8999999999996,3
"PanCK",77.5999999999995,4.30000000000109
"CD68",150.4,4.10000000000036
"PanCK",225.099999999999,2.20000000000073
"PanCK",263,4.70000000000073
"PanCK",244.5,4.89999999999964
"Neither",110.7,5.20000000000073
"PanCK",206,5.89999999999964
"PanCK",316.4,5.30000000000109
"Neither",68,5.70000000000073
"CD68",61.8000000000002,5
"Neither",103,6.5
"PanCK",217.9,8.30000000000109
"Neither",83.3999999999996,7.89999999999964
"Neither",121.8,9.89999999999964
"PanCK",8.80000000000018,12
"Neither",138.7,9.5
"PanCK",190.7,11.8999999999996
"CD68",44.3999999999996,10.7000000000007
"Neither",91.6999999999998,12.3000000000011
"Neither",146.099999999999,12
"PanCK",199.3,11.5
"PanCK",226.4,10.8000000000011
"PanCK",257.3,10.8000000000011
"Neither",102.4,13
"PanCK",18.3999999999996,10.8999999999996
"PanCK: PD-L1",278.8,12.7000000000007
"PanCK",232.7,13.8999999999996
"Neither",68.6999999999998,13.8000000000011
"PanCK",156.5,13.8999999999996
"PanCK",241.599999999999,12.5
"PanCK",300,14.6000000000004
"PanCK",205.9,15.7000000000007
"CD68",113.099999999999,14.5
"Neither",129,14.3000000000011
"PanCK",180.2,18.7000000000007
"Neither",80.8999999999996,16
"PanCK",26,18
"PanCK",16.3999999999996,17.3000000000011
"CD68",53.3000000000002,18.1000000000004
"PanCK",222.8,17.7000000000007
"PanCK",214.599999999999,21.5
"PanCK",166.2,22.5
"CD68",120,17.3000000000011
"PanCK",253.599999999999,18.8999999999996
"PanCK",288.9,19.7000000000007
"Neither",43.8000000000002,20.1000000000004
"Neither",97.8999999999996,21.8999999999996
"CD68",109.2,20.8000000000011
"PanCK",242.9,21.6000000000004
"Neither",145.099999999999,19.7000000000007
"Neither",36.1999999999998,19.8999999999996
"CD68",87.5999999999995,23.6000000000004
"PanCK",231,21
"PanCK",278.099999999999,22.5
"CD68",61.6999999999998,21.3999999999996
"PanCK",267.9,20.1000000000004
"Neither",140.5,21.8999999999996
"PanCK",197.7,21.8999999999996
"PanCK",10.3000000000002,23.1000000000004
"CD68",104.5,21.8000000000011
"PanCK",1.5,25.6000000000004
"PanCK",186.4,26.3999999999996
"CD68",116.5,25.1000000000004
"PanCK",193.5,25.5
"CD68",124.4,23.1000000000004
"PanCK",154.7,23.8000000000011
"PanCK",264.2,25
"Neither",70.5999999999995,26.3000000000011
"CD68",132.9,24.8999999999996
"PanCK",293.9,25
"PanCK",206.4,24.3000000000011
"PanCK",256,28.7000000000007
"Neither",29.6999999999998,27.8999999999996
"PanCK",272.5,27.5
