"Classification","xDim","yDim"
"PanCK",117.75,1.54999999999927
"PanCK",249.150000000001,0.449999999998909
"PanCK",456.050000000001,0.349999999998545
"PanCK",97.6500000000015,0.149999999999636
"PanCK",272.550000000001,3.25
"CD68: PD-L1",11.6500000000015,-0.550000000001091
"PanCK",145.35,6.34999999999854
"CD68",531.650000000001,1.34999999999854
"PanCK",41.75,5.04999999999927
"PanCK",465.450000000001,2.34999999999854
"PanCK",545.950000000001,1.04999999999927
"PanCK",33.25,1.44999999999891
"PanCK",90.6500000000015,2.75
"PanCK",83.25,1.84999999999854
"PanCK",520.85,1.75
"CD68: PD-L1",594.950000000001,5.54999999999927
"CD68: PD-L1",237.550000000001,3.25
"Neither",357.35,3.84999999999854
"CD68: PD-L1",366.650000000001,1.64999999999964
"PanCK: PD-L1",383.35,3.94999999999891
"PanCK",263.950000000001,2.75
"PanCK",330.85,3.64999999999964
"Neither",524.950000000001,3.14999999999964
"PanCK",54.5500000000011,3.14999999999964
"CD68: PD-L1",3.25,5.44999999999891
"PanCK",106.75,7.94999999999891
"PanCK",411.450000000001,5.44999999999891
"CD68",489.050000000001,5.44999999999891
"PanCK",516.650000000001,2.94999999999891
"PanCK",280.85,4.84999999999854
"CD68: PD-L1",171.950000000001,5.54999999999927
"PanCK",549.85,4.84999999999854
"PanCK",443.85,5.14999999999964
"PanCK",75.75,6.75
"Neither",421.25,5.44999999999891
"PanCK",194.150000000001,9.54999999999927
"PanCK",470.150000000001,6.64999999999964
"PanCK",205.150000000001,8.64999999999964
"PanCK",394.950000000001,8.04999999999927
"PanCK",537.85,6.34999999999854
"PanCK",61.1500000000015,7.75
"PanCK",316.650000000001,9.54999999999927
"PanCK",304.35,8.14999999999964
"PanCK",292.150000000001,6.84999999999854
"PanCK",373.35,9.64999999999964
"PanCK",403.950000000001,9.84999999999854
"Neither",562.450000000001,8.75
"PanCK: PD-L1",13.4500000000007,9.75
"PanCK",388.35,8.44999999999891
"PanCK",458.650000000001,7.44999999999891
"PanCK",51.0500000000011,9.75
"PanCK",129.450000000001,12.1499999999996
"PanCK",184.050000000001,9.75
"CD68: PD-L1",338.550000000001,9.44999999999891
"PanCK",89.1500000000015,9.75
"PanCK",27.0500000000011,13.1499999999996
"PanCK",97.75,11.0499999999993
"PanCK: PD-L1",348.950000000001,11.1499999999996
"PanCK",451.650000000001,12.5499999999993
"CD68: PD-L1",262.150000000001,11.0499999999993
"PanCK",363.25,11.6499999999996
"CD68",498.150000000001,12.5499999999993
"PanCK",526.85,10.8499999999985
"PanCK",533.550000000001,12.9499999999989
"CD68: PD-L1",165.75,12.4499999999989
"PanCK",288.950000000001,11.75
"PanCK",223.85,12.6499999999996
"PanCK",463.35,12.1499999999996
"PanCK",384.150000000001,11.3499999999985
"PanCK",252.550000000001,12.8499999999985
"PanCK",419.150000000001,13.5499999999993
"PanCK",572.050000000001,11.4499999999989
