Classification,Centroid X µm,Centroid Y µm
SOX2: Ki67,3.861,4.08
SOX2,31.91,2.6
SOX2,104.72,2.082
SOX2,128.21,2.617
SOX2,159.34,3.396
SOX2,196.05,5.594
SOX2,242.91,1.183
Iba1,309.91,1.606
Iba1,318.46,4.038
SOX2,357.06,2.83
SOX2,370.18,1.727
SOX2,431.73,2.024
Iba1,109.57,2.877
Iba1,117.08,2.761
SOX2,230.35,2.287
Iba1,300.49,3.52
SOX2,364.6,3.526
SOX2,92.74,3.505
Iba1,221.33,3.2
SOX2,238.17,3.646
SOX2,82.66,6.126
SOX2,440.08,10.04
Iba1,246.16,5.574
SOX2,308.45,7.534
SOX2: Ki67,43.69,8.14
SOX2,395.65,7.362
Iba1,111.5,6.375
Iba1,134.25,8.61
SOX2,168.09,7.638
Iba1,123.56,8.368
SOX2,233.25,8.091
SOX2,210.67,8.4
SOX2,355.9,8.149
SOX2,410.73,9.879
SOX2,226.42,9.028
SOX2,375,10.76
SOX2,282.68,11.34
SOX2,28.24,13.26
SOX2,113.6,12.22
Iba1,218.46,10.78
SOX2,336.21,12.02
SOX2,421.6,14.03
SOX2: Ki67,72.45,14.74
SOX2,317.12,14.22
SOX2,62.66,12.78
Iba1,88.71,13
Neither,98.43,12.63
SOX2,241.07,16.78
SOX2,262.24,14.32
SOX2,352.92,13.72
Iba1: Ki67,183.58,13.39
SOX2,298.63,14.04
Iba1,344.47,14.85
SOX2,121.09,14.31
Iba1,249.9,15.74
SOX2,359.89,16.09
SOX2,224.69,19.62
SOX2,234.28,16.14
SOX2,212.26,16.91
SOX2,82.66,19.67
SOX2,139.52,20.84
SOX2,323.04,18.55
Iba1,329.4,18.12
SOX2,94.29,19.48
SOX2: Ki67,129.07,19.56
SOX2,197.18,18.03
Iba1,308.87,20.58
SOX2,161.33,21.1
SOX2,292.48,21.48
Iba1,414.26,20.26
Iba1,56.94,21.67
SOX2: Ki67,120.11,24.4
SOX2,181.37,22.07
SOX2,434.54,22.36
Iba1,151.93,22.55
SOX2,367.44,23.2
SOX2,44.05,24.75
SOX2,353.66,23.88
SOX2,14.14,24.38
SOX2,203.02,24.26
Iba1,346.07,23.31
SOX2,394.4,23
SOX2,69.39,27.21
SOX2,91.57,25.78
SOX2,379.03,26.28
Iba1,261.64,25.41
Iba1,267.96,24.14
SOX2,406.65,29.63
SOX2,336.87,26.84
SOX2,385.85,27.5
SOX2,191.23,27.1
SOX2,236.44,28.29
SOX2,277.01,30.14
SOX2,315.58,28.42
SOX2,111.42,28.91
SOX2,344.17,28.73
Neither,208.58,29.99
SOX2,95.68,29.95
Iba1,117,32.7
SOX2,325.41,32.72
SOX2,362.16,32.25
Iba1,256.27,32.14
SOX2,305.95,32.09
SOX2,346.77,32.82
SOX2,15.78,33.31
SOX2: Ki67,54.17,32.25
SOX2,292.48,34.18
SOX2,75.83,34.38
Neither,104.19,31.43
Iba1,265.7,33.65
SOX2,352.44,33.09
SOX2,191.17,34.49
SOX2,336.99,36.28
SOX2,370.8,34.5
SOX2,245.47,36.43
SOX2,389.71,35.36
SOX2,417.65,36.6
SOX2,428.89,36.17
SOX2,233.12,37.12
SOX2: Ki67,98.68,41.54
SOX2,155.81,36.49
SOX2,85.9,37.74
SOX2,127.86,38.76
SOX2,355.34,38.28
SOX2,57.48,40.45
SOX2,227.68,43.29
SOX2,374.81,38.76
SOX2,108.54,38.66
SOX2,136.66,42.34
SOX2,63.47,39.47
SOX2,207.59,37.44
SOX2,169.03,39.87
SOX2,259.46,41.72
SOX2,37.07,40.55
Iba1,119.13,40.25
SOX2,306.56,41.11
SOX2,14.67,42.04
SOX2,47.25,40.69
SOX2,317.05,40.96
SOX2,325.08,41.78
SOX2,362.63,43.65
Iba1,201.96,44.25
SOX2,214.21,44.94
Iba1,389.92,44.26
SOX2,377.96,44.86
SOX2,8.74,43.43
SOX2,74.66,45.56
Iba1,267.79,44.84
Iba1,3.303,46.25
Iba1,280.54,45.3
SOX2,53.91,47.76
SOX2,427.33,46.59
SOX2,330.88,46.23
SOX2,413.33,47.24
SOX2,338.38,46.22
SOX2,176.72,46.91
SOX2,117.67,48.36
SOX2,158.39,46.84
SOX2,191.47,48.23
SOX2,313.95,48.1
Iba1,288.74,49.44
SOX2,368.35,51.38
SOX2,253.72,50.13
SOX2,306.51,51.63
SOX2,323.63,48.26
SOX2: Ki67,354.42,50.61
Iba1,297.17,51.16
SOX2,422.1,53.74
SOX2,11.83,53.87
SOX2,47.15,51.64
SOX2,91.95,54.06
SOX2,263.03,52.06
SOX2,345.52,51.32
SOX2,126.05,53.16
SOX2: Ki67,61.58,50.13
SOX2,106.06,52.54
SOX2,271.99,51.2
SOX2,164.81,54.18
Iba1,323.13,52.58
SOX2,34.81,52.48
SOX2: Ki67,217.2,55.27
Iba1,25.27,55.55
SOX2,180.98,53.44
SOX2,279.51,54.7
SOX2,75.19,55.37
SOX2,149.16,55.58
SOX2,202.94,53.27
SOX2,410.77,56.62
SOX2,336.64,57.79
SOX2,433.3,54.07
SOX2,317.85,54.28
SOX2,62.12,56.11
SOX2,112.37,56.82
SOX2,329.64,55.91
SOX2,314.51,56.87
SOX2,194.53,59.44
SOX2,348.55,61.38
SOX2,69.75,58.49
SOX2,205.85,60.59
SOX2,324.21,60.73
SOX2: Ki67,123.51,63.02
Iba1,437.88,61.98
SOX2,297.09,62.52
SOX2,52.15,61.82
SOX2,145.23,64.36
SOX2,169.77,61.41
SOX2,274.72,62.06
SOX2,181.68,61.73
Iba1,226.69,59.9
SOX2,241.3,62.17
SOX2,306.86,63.26
SOX2,63.54,64.98
SOX2,288.12,63.01
SOX2,317.87,67.68
Iba1,20.88,62.93
Iba1,402.87,62.5
SOX2,10.8,64.66
SOX2,374.35,64.93
SOX2,135.46,68.13
SOX2,174.81,66.33
SOX2,113.41,66.46
SOX2,365.75,65.81
SOX2,228.75,67.44
SOX2,75.13,67.79
SOX2,385.5,66.91
SOX2,406.47,67.92
SOX2,250.22,69.27
SOX2,282.54,66.69
SOX2,424.7,67.56
SOX2,18.61,68.99
Iba1,354.41,67.28
SOX2,442.4,69.54
SOX2: Ki67,415.45,70.74
SOX2,191.21,70.67
SOX2,154.48,71.49
SOX2,276.94,71.52
SOX2,178.13,72.04
SOX2,117.45,73.64
SOX2,363.11,72.52
SOX2,291.68,72.38
SOX2,350.52,74.11
SOX2,397.89,71.5
Iba1,284.51,74.87
Iba1,329.51,72.04
SOX2,434.86,72.84
SOX2: Ki67,426.34,74.11
SOX2,64.88,72.64
SOX2: Ki67,374.86,75.67
SOX2,206.39,74.77
SOX2,6.421,75.96
SOX2: Ki67,310.17,76.51
SOX2,21.5,75.8
SOX2,73.7,74.89
SOX2,58.09,74.1
SOX2,183.26,77.47
Iba1,99.41,76.35
Iba1,89.25,77.83
SOX2: Ki67,408.57,77.61
Iba1,341.12,78.39
SOX2,385.4,77.22
SOX2,233.69,77.93
SOX2,401.51,79.23
SOX2,55.03,79.85
Iba1,327.94,78.44
SOX2,299.04,79.46
SOX2,433.17,79.07
SOX2,64.77,80.6
Iba1,145.75,79.55
SOX2,363.76,81.17
SOX2,220.92,79.01
SOX2: Ki67,279.21,80.75
SOX2,78.6,79.88
SOX2,196.38,82.81
SOX2,202.8,80.88
SOX2,213.27,81.18
SOX2: Ki67,290.72,82.12
SOX2,422.88,81.08
SOX2,130.4,82.43
SOX2,166.86,80.25
SOX2: Ki67,268.08,81.71
SOX2,104.03,83.17
SOX2,412.52,85.17
SOX2,441.13,80.11
SOX2,159.1,82.98
