Classification,Centroid X µm,Centroid Y µm
SOX2,352.14,84.57
SOX2,24.77,85.67
SOX2: Ki67,273.24,89.5
SOX2,308.31,86.57
SOX2,253.22,82.9
SOX2,376.85,86.08
SOX2,177.61,84.21
SOX2,10.71,86.21
Iba1,320.56,84.98
Iba1: Ki67,332.28,85.67
SOX2,445.23,83.93
Iba1,33.17,85.53
SOX2,227.5,86.32
SOX2,387.38,88.06
SOX2: Ki67,435.94,87.75
SOX2: Ki67,70.86,88.41
SOX2,97.48,89.58
SOX2: Ki67,84.8,90.18
SOX2,241.82,87.26
SOX2: Ki67,426.38,89.72
SOX2,261.83,88.2
SOX2,210.55,88.11
SOX2,297.56,88.57
SOX2,167.57,90.01
SOX2,190.51,88.59
SOX2,367.88,89.69
SOX2,155.96,88.83
SOX2: Ki67,56.71,89.11
SOX2,251.28,89.74
SOX2: Ki67,401.37,90.84
SOX2,443.16,92.44
SOX2: Ki67,184.53,92.02
SOX2: Ki67,257.1,92.43
SOX2,337.76,92.5
SOX2,119.47,95.71
SOX2: Ki67,221.98,92.41
SOX2: Ki67,360.56,94.2
SOX2,327.39,93.99
SOX2,175.47,92.73
SOX2,348.49,93.31
Iba1,152.29,93.33
SOX2,281.87,92.77
SOX2,303.85,93.87
SOX2,200.27,93.31
SOX2,31.95,94.66
Iba1,412.07,94.73
SOX2,239.81,95.75
SOX2,319.07,93.24
SOX2,47.66,96.66
SOX2,250.46,95.36
SOX2,138.85,96.29
SOX2: Ki67,60.84,97.95
SOX2: Ki67,76.18,98.58
SOX2,264.02,98.02
SOX2,311.43,98.57
SOX2: Ki67,22.94,101.33
Iba1,10.63,99.25
SOX2: Ki67,92.96,98.8
SOX2,178.25,98.87
SOX2,233.73,101.12
SOX2: Ki67,352.73,101.07
Iba1,276.32,97.2
SOX2,283.16,98.28
SOX2: Ki67,219.05,99.6
SOX2,319.66,101.81
Iba1: Ki67,299.84,100.44
SOX2: Ki67,155.6,100.73
SOX2: Ki67,195.76,99.66
SOX2,381.63,101.61
SOX2,425.53,98.97
SOX2,204.01,100.25
SOX2: Ki67,225.52,100.09
SOX2,431.4,101.05
SOX2: Ki67,187.13,100.01
SOX2,291.36,102.2
SOX2: Ki67,102.79,101.02
SOX2,271.99,99.78
SOX2,339.46,101.93
SOX2,250.16,100.61
SOX2,167.67,100.71
Iba1,439.03,105.18
SOX2,282.68,105.33
SOX2,256.65,105.5
SOX2: Ki67,422.35,103.12
SOX2,245.46,106.11
SOX2: Ki67,191.8,106.04
SOX2,109.79,105.45
SOX2: Ki67,185.09,107.58
SOX2: Ki67,197,105.69
Iba1,269.47,103.77
SOX2,416.22,104.49
Iba1: Ki67,86.25,105.37
SOX2,211.4,105.34
SOX2,136.45,108.27
SOX2,330.09,108.42
Neither,35.94,107.03
Iba1: Ki67,176.98,109.86
SOX2: Ki67,97.42,108.18
SOX2,154.88,108.24
SOX2,165.46,109.45
SOX2,264.83,108.09
SOX2,75.99,109.14
SOX2,275.68,110.17
SOX2,318.38,110.59
SOX2,339.07,110.03
SOX2,362.98,111.16
SOX2,392.91,110.76
SOX2: Ki67,416.53,110.92
Iba1,68.48,111.13
SOX2,306.82,112.02
SOX2,210.99,111.59
SOX2,43.05,112.49
SOX2,27.14,113.65
SOX2,84.14,111.61
SOX2,217.13,114.77
SOX2: Ki67,347.83,112.75
SOX2: Ki67,252.81,114.56
SOX2,373.65,111.72
Iba1,431.21,114.31
Iba1,14.07,114.79
SOX2,91.98,114.28
SOX2,235.23,114.96
SOX2,378.65,114.96
SOX2,384.56,114.1
SOX2: Ki67,101.34,114.54
SOX2,285.53,116.26
SOX2: Ki67,338.05,117.33
SOX2: Ki67,420.43,117.12
SOX2: Ki67,108.5,117.08
SOX2,264.61,116.73
SOX2: Ki67,322.11,119.57
SOX2,5.593,117.93
SOX2: Ki67,244.85,117.83
SOX2,356.27,118.04
SOX2,33.51,118.47
SOX2,78.73,117.61
SOX2: Ki67,167.41,119.85
SOX2,276.77,120.3
SOX2,228.47,119.76
SOX2,185.96,121.32
SOX2: Ki67,86.33,125.34
SOX2,119.95,122.09
SOX2,206.14,120.81
SOX2,212.68,120.88
SOX2,297.71,121.59
SOX2,392.35,121.55
SOX2,131.11,122.31
SOX2,258,123.38
SOX2,439.99,120.97
SOX2: Ki67,380.98,121.45
SOX2,97.16,124.62
SOX2,106.66,125.75
Neither,73.63,126.24
SOX2,268.3,124.1
SOX2,371.33,125.02
SOX2,309.86,125.41
Iba1,13.04,125.13
SOX2: Ki67,329.37,126.62
SOX2,345.03,125.71
SOX2: Ki67,236.17,126.29
SOX2,433.31,127.21
SOX2: Ki67,55.01,125.15
SOX2: Ki67,250.2,126.2
SOX2: Ki67,380.74,128
Iba1,40.72,127.01
SOX2,215,126.5
SOX2,153.43,127.51
Iba1: Ki67,164.09,127.85
SOX2,113.22,128.44
SOX2,198.31,129.09
SOX2,444.23,126.14
SOX2: Ki67,244.36,127.22
SOX2,140.69,128.95
SOX2,207.98,129.53
SOX2,337.15,127.38
SOX2,318.93,129.18
SOX2,126.9,130.5
SOX2,271.39,132.81
SOX2,426.04,130.47
SOX2: Ki67,301.33,132
SOX2,446,130.34
Iba1: Ki67,27.46,130.73
SOX2,117.77,131.8
SOX2,261.21,132.88
SOX2: Ki67,367.83,131.23
SOX2,398.46,131.06
SOX2,440.94,135.34
SOX2,248.63,132.49
SOX2,50.81,132.63
SOX2,62.82,131.48
SOX2,416.86,133.78
SOX2,158.33,133.49
SOX2,334.12,134.28
SOX2,79.88,132.66
SOX2,240.21,132.91
Iba1,9.313,133.86
SOX2,108.7,133.31
SOX2,325.09,133.11
SOX2,177.26,135.51
SOX2,35.73,132.48
SOX2,255.03,136.62
SOX2,214.04,135.8
SOX2,317.49,136.45
Iba1,1.826,136.04
Iba1,45.13,136.4
SOX2,376.75,137.31
SOX2,388.83,136.99
SOX2,131.07,138.23
SOX2,35.3,138.74
SOX2,228.04,138.11
SOX2,237.17,141.51
SOX2,99.92,138.08
SOX2,84.25,139.13
SOX2,195.89,141.94
SOX2,246.57,140.72
SOX2,284.6,140.17
SOX2,402.19,139.76
SOX2,423.23,141.72
SOX2,27.17,138.47
SOX2: Ki67,115.12,139.68
SOX2,433.23,140.35
Iba1,54.51,142.98
SOX2,23.96,143.51
SOX2: Ki67,66.56,140.81
SOX2,122.89,143.85
SOX2,342.15,144.31
SOX2: Ki67,45.32,143.56
SOX2,212.01,144.44
SOX2,362.4,141.03
SOX2,14.79,143.49
Iba1,183.41,142.72
Iba1,223.14,142.16
SOX2: Ki67,303.17,141.07
SOX2: Ki67,295.04,145.16
Iba1: Ki67,325.25,143.84
SOX2,105.32,144.34
SOX2,7.225,144.11
Iba1,187.46,143.69
SOX2,219.45,148.05
SOX2,432.58,147.19
SOX2,356.8,147.98
SOX2,384.51,147.23
SOX2,412.23,149.58
SOX2,366.96,146.57
SOX2,1.934,147.21
SOX2: Ki67,70.65,147.07
SOX2: Ki67,76.35,145.79
SOX2,34.43,147.8
SOX2,87.06,147.57
SOX2,152.9,147.22
SOX2,174.28,147.3
Iba1: Ki67,305.81,149.23
SOX2,227.85,148.81
SOX2: Ki67,257.44,148.52
SOX2,277.27,147.07
Neither,181.54,149.12
Iba1,189.26,151.16
Iba1,270.68,150.06
SOX2: Ki67,63.79,149.79
SOX2,100.57,150.62
SOX2: Ki67,164.95,148.26
SOX2,316.35,149.95
SOX2,243.34,150.61
SOX2,196.53,150.26
SOX2,113.37,152.38
SOX2,139.87,148.87
SOX2,289.95,152.66
SOX2,424.95,150.78
SOX2,126.47,150.62
SOX2: Ki67,331.97,152.01
SOX2,133.24,151.11
SOX2,208.77,152.86
SOX2,372.83,152.98
SOX2,402.63,153.36
SOX2: Ki67,11.83,153.93
SOX2: Ki67,42.14,154.4
Neither,78.88,151.73
SOX2,160.46,152.79
SOX2,200.74,155
SOX2,172.82,154.93
SOX2,387.16,154.34
SOX2,431.29,155.9
SOX2: Ki67,54.18,154.28
SOX2,394.73,153.49
SOX2: Ki67,27.14,157.8
SOX2,136.63,156.52
SOX2,280.42,155.08
SOX2,247.71,157.17
SOX2,88.99,156.18
SOX2,147.59,158.12
SOX2,180,157.32
SOX2: Ki67,167.16,157.4
SOX2,267.38,157.27
SOX2: Ki67,314.21,157.49
Iba1,230.66,159.35
SOX2,159.27,159.06
Iba1,419.37,157.62
SOX2: Ki67,80.53,159.03
SOX2,119.65,157.54
SOX2,253.91,160.37
SOX2,261,159.8
SOX2: Ki67,63.74,158.92
Iba1,305.27,158.84
SOX2,336.41,159.19
SOX2: Ki67,218.9,159.4
SOX2,390.47,159.79
SOX2,359.66,161.8
SOX2,103.43,161.25
SOX2,397.12,160.29
SOX2: Ki67,73.13,160.83
SOX2,274.95,159.86
SOX2,348.6,162.98
SOX2,369.89,160.83
SOX2: Ki67,67.9,164.83
Iba1: Ki67,298.02,162.75
SOX2,123.97,162.39
SOX2,132.08,161.62
SOX2,323.16,163.97
SOX2,330.66,162.43
SOX2: Ki67,281.85,162.56
Iba1: Ki67,171.75,163.1
SOX2,40.9,166.82
SOX2,53.54,163.08
SOX2,402.31,166.6
SOX2: Ki67,139.88,163.38
SOX2,180.25,165.68
SOX2,211.79,164.86
SOX2,424.22,164.38
Iba1,443.38,165.42
SOX2,13.65,165.68
SOX2,91.9,163.77
SOX2: Ki67,58.99,167.71
SOX2: Ki67,111.68,167.13
SOX2: Ki67,339.79,167.65
SOX2: Ki67,270.46,165.28
SOX2,414.42,168.66
SOX2,390.23,167.95
Iba1: Ki67,23.28,167.22
SOX2: Ki67,145.65,167.6
SOX2,223.24,167.44
SOX2,315.13,169.44
SOX2,81.3,168.33
SOX2,260.05,166.45
Iba1: Ki67,129.61,169.81
SOX2,4.232,167.55
SOX2: Ki67,121.04,170.43
Iba1,247.32,169.43
SOX2,160.97,170.2
SOX2: Ki67,281.6,171.47
SOX2,366.99,169.43
SOX2,28.43,172.24
SOX2,256.04,172.29
Iba1,188.16,171.62
SOX2,67.67,177.39
SOX2,74.35,171.65
Iba1: Ki67,90.75,170.8
Iba1: Ki67,152.19,172.34
SOX2,295.98,172.99
Iba1,376.57,171.36
SOX2,383.15,171.08
SOX2: Ki67,7.769,176.93
SOX2,269.82,171.51
SOX2,220.61,173.6
SOX2,236.95,174.17
SOX2,263.41,173.18
SOX2,1.647,174.33
SOX2,326.73,174.43
SOX2: Ki67,18.02,176.39
SOX2: Ki67,103.89,176.19
Iba1: Ki67,174.71,173.45
SOX2,308.82,175.39
SOX2,139.6,174.25
SOX2,434.88,176.1
SOX2,333.91,175.4
SOX2: Ki67,95.98,177.33
SOX2,147.17,175.36
SOX2,115.21,175.65
SOX2,370.86,174.79
SOX2,37.8,176.43
SOX2,215.28,176.68
SOX2: Ki67,387.49,177.11
SOX2,182.25,176.92
Iba1,47.39,176.66
SOX2,87.05,179.13
SOX2,364.48,178.14
SOX2: Ki67,229.08,178.36
SOX2: Ki67,272.42,179.06
SOX2,157.8,177.58
Iba1,247.04,179.21
SOX2: Ki67,171.18,180.12
SOX2: Ki67,194.35,179.27
SOX2,378.48,178.51
SOX2: Ki67,206.65,178.48
Iba1: Ki67,340.45,179.91
SOX2,162.52,180.27
SOX2: Ki67,288.16,181.4
SOX2,303.84,180.41
SOX2: Ki67,27.47,181.36
SOX2: Ki67,154.37,181.5
SOX2,78.71,182.29
SOX2,259.1,182.54
SOX2,316.05,181.85
SOX2,371.02,181.44
Iba1,406.14,181.25
SOX2: Ki67,297.61,180.52
SOX2,110.87,180.86
SOX2,392.09,181.44
SOX2: Ki67,37.01,184.95
SOX2,327.44,184.8
SOX2,357.78,184.36
SOX2,417.16,184.77
SOX2,117.35,184.08
SOX2: Ki67,218.7,185.23
SOX2,150.06,185.25
SOX2,374.74,185.31
SOX2,379.85,187.27
SOX2,386.27,185.28
SOX2,301.07,186.05
SOX2,97.06,184.92
SOX2,108.52,186.48
Iba1: Ki67,201.79,186.46
SOX2,311.81,189.29
SOX2: Ki67,20.18,186.05
SOX2: Ki67,131.07,186.13
SOX2,10.57,185.91
SOX2: Ki67,184.79,185.53
SOX2,396.68,189
SOX2,366.6,185.03
SOX2,274.13,187.47
SOX2,425.37,188.64
SOX2,141.74,187.96
SOX2: Ki67,232.39,189.08
SOX2: Ki67,124.8,187.46
SOX2,286.85,188.71
SOX2,88.78,192.23
SOX2,347.31,188.16
SOX2,3.284,189.06
SOX2: Ki67,171.89,189.4
SOX2: Ki67,178.97,191.16
Iba1,43.54,189.34
SOX2,411.78,192.92
SOX2,321.33,190.89
Neither,64.21,191.06
SOX2,368.13,189.75
SOX2,389.64,191.09
Iba1,120.58,190.21
Iba1: Ki67,296.35,192.76
SOX2,372.65,192.68
SOX2,105.11,193.4
Iba1,340.1,191.37
SOX2,205.81,192.7
SOX2,260.7,190.41
Iba1,191.35,192.68
SOX2,280.36,192.46
SOX2,360.54,193.87
SOX2,13.02,193.43
SOX2,267.22,193.56
Iba1,111.9,192.01
SOX2,124.59,194.49
SOX2,116.68,194.62
SOX2,162.91,193.62
SOX2,25.58,192.66
SOX2,152.15,196.24
SOX2,254.09,196.45
Iba1,306.14,197.47
SOX2,42.87,196.68
SOX2: Ki67,143.01,196.08
SOX2,214.82,198.09
SOX2,97.88,196.51
Iba1: Ki67,328.03,197.46
SOX2,350.06,198.55
SOX2,31.3,198.44
SOX2,234.64,199.37
SOX2,285.46,196.85
Iba1,377.8,198.54
SOX2,337.35,197.91
SOX2,18.77,198.09
SOX2,3.265,198.42
Iba1,183.57,199.47
Iba1,437.77,197.65
SOX2: Ki67,174.14,199.98
SOX2,193.66,197.75
Iba1,369.11,199.61
SOX2,292.16,199.86
SOX2,199.92,201.88
SOX2,393.51,200.65
SOX2,318.22,204.95
Iba1: Ki67,94.42,200.91
SOX2: Ki67,108.43,201.88
SOX2,160.26,201.66
SOX2,190.51,202.07
SOX2,358.84,203.43
SOX2,382.53,207.39
Iba1,408.66,201.06
SOX2: Ki67,443.34,202.3
SOX2,8.423,203.88
SOX2,21.96,204.19
SOX2,271.32,203.05
SOX2,336.7,206.13
SOX2,416.35,204.64
SOX2: Ki67,117.35,203.13
SOX2,278.6,201.81
SOX2,42.81,203.51
SOX2: Ki67,93.6,207.52
SOX2,344.22,205.58
SOX2: Ki67,100.61,205.74
SOX2: Ki67,289.36,205.67
SOX2,48.69,206.95
SOX2,132.26,205.64
Iba1,404.39,206.25
SOX2,245.57,206.44
SOX2,327.97,209.98
SOX2,147.51,204.77
SOX2: Ki67,257.46,209.25
SOX2,141.37,208.55
SOX2,277.4,208.26
Iba1,425.81,208.46
SOX2,39.07,208.88
SOX2,226.65,207.63
SOX2,395.58,209.49
Iba1,109.11,210.98
SOX2,181.32,208.62
SOX2,161.03,209.55
SOX2,197.73,209.56
SOX2: Ki67,28.72,211.89
SOX2,122.59,211.9
SOX2,193.14,211.38
SOX2,352.99,210.07
SOX2,14.06,211.02
SOX2,236.32,213.58
Iba1,411.33,210.85
Iba1,444.93,209.88
Iba1,150.73,211.44
SOX2,284.2,212.41
SOX2,437.72,211.26
SOX2,300.72,213.22
SOX2,416.92,214.14
Iba1,314.59,213
SOX2,348.13,213.27
Neither,407.92,214.35
SOX2,360.03,214.72
SOX2,144.96,215.56
SOX2: Ki67,182.27,217.33
SOX2,400.33,216.22
SOX2,339.53,216.31
SOX2,38.23,216.98
SOX2,6.553,219.69
Iba1,98.89,218.27
SOX2: Ki67,267.44,216.78
SOX2: Ki67,313.15,220.18
SOX2,368.84,220.03
SOX2,432.05,218.42
SOX2,444.66,218.28
SOX2: Ki67,158.02,216.98
SOX2: Ki67,117.84,221.04
SOX2,191.56,217.07
SOX2,288.49,220.58
SOX2: Ki67,152.48,220.15
Iba1,422.04,218.82
Iba1,220.34,219.58
Neither,31.18,220.42
SOX2: Ki67,274.12,219.99
Neither,15.62,221.34
SOX2,358.91,221.38
SOX2,391.85,222.44
SOX2: Ki67,139.6,222.73
Iba1,196.46,221.4
SOX2,302.92,227.18
Iba1,165.57,222.89
SOX2,441.42,223.16
SOX2,254.31,225.87
Iba1,187.86,224.52
SOX2,426.13,224.67
SOX2,94.1,224.1
SOX2: Ki67,106.28,227.75
SOX2,347.41,226.27
SOX2,263.53,225.43
SOX2: Ki67,276.79,225.22
SOX2: Ki67,281.58,228.52
SOX2: Ki67,176.08,227.05
SOX2: Ki67,126.83,227.79
SOX2,435.72,228.5
SOX2: Ki67,88.26,230.1
SOX2: Ki67,226.74,233.28
SOX2,376.5,228.73
SOX2,150.06,228.36
Iba1,194.47,229.28
SOX2,233.89,227.49
SOX2,270.73,229.95
SOX2,339.53,229.91
SOX2,212.3,227.86
SOX2,159.92,230.41
SOX2,361.84,228.44
SOX2,353.81,231.64
SOX2,134.35,230.7
SOX2: Ki67,115.87,231.17
SOX2,198.5,233.55
SOX2,417.33,234.65
SOX2: Ki67,185.07,236.5
Iba1,367.02,235.97
Iba1,148.16,236.25
Iba1: Ki67,290.4,236.76
SOX2,238.29,236.61
SOX2,136.82,236.74
SOX2,358.59,237.91
SOX2: Ki67,104.65,237.82
SOX2,204.74,238.77
SOX2,164.28,238.89
SOX2: Ki67,125.33,237.54
SOX2,442.23,239.81
Iba1,433.78,239.95
SOX2,117.67,241.06
SOX2,266.72,239.69
SOX2,339.76,240.59
SOX2,399.13,243.54
SOX2: Ki67,309.3,240.54
Neither,380.75,240.37
Iba1,72.78,239.41
SOX2: Ki67,79.62,241.45
SOX2,248.95,241.1
SOX2,300.02,242.27
SOX2,88.7,242.32
SOX2: Ki67,110.81,244.75
SOX2,332.08,244.81
SOX2,408.93,243.19
SOX2,64.39,241.42
SOX2,199.64,242.48
SOX2,195.23,244.79
SOX2,151.21,244.66
Iba1,142.29,243.81
Neither,157.3,242.35
SOX2,130.3,244.47
Iba1,217.42,244.46
SOX2,100.65,245.36
Neither,417.26,244.52
SOX2,284.31,245.78
SOX2,272.15,249.46
SOX2,161.46,249.42
SOX2,312.74,250.52
SOX2,319.25,246.62
SOX2,46.52,249.46
SOX2,70.02,249.84
Neither,326.1,247.96
SOX2: Ki67,188.35,250.62
SOX2,177.44,249.17
SOX2,431.05,251.18
Neither,420.21,250.35
SOX2: Ki67,218.42,254.15
SOX2,105.97,252.1
SOX2,291.22,251.94
Iba1,414.39,252.3
SOX2,281.26,253.93
SOX2,92.81,253.04
SOX2,120.34,252.82
Iba1: Ki67,245.46,252.24
SOX2,199.92,255.46
SOX2,79.67,254.46
SOX2,225.51,257.5
SOX2: Ki67,15.09,259.48
Iba1,155.71,255.88
SOX2,254.33,255.35
SOX2,56.74,256.77
SOX2,286.2,255.59
Iba1,306.96,255.14
SOX2,106.11,262.72
SOX2,212.18,258.94
Iba1: Ki67,248.61,257.32
SOX2,192.65,257.3
SOX2,296.81,260.81
SOX2,96.4,260.96
SOX2,114.15,258.64
SOX2,233.36,258.28
SOX2,85.74,259.23
SOX2,167.84,261.22
SOX2: Ki67,44.6,260.54
Iba1,26.45,261.27
SOX2: Ki67,204.2,262.9
SOX2: Ki67,244.23,260.97
Iba1: Ki67,273.3,259.21
Iba1,304.32,262.04
Iba1: Ki67,330.46,261.72
SOX2,281.52,263.59
SOX2,185.59,262.33
SOX2,288.28,261.4
SOX2,258.89,263.73
SOX2,79.58,261.99
Iba1: Ki67,311.96,261.77
SOX2,319.35,264.44
SOX2,122.17,264.09
SOX2,89.15,265.55
SOX2,115.38,265.78
SOX2,251.25,267.91
Iba1,231.84,264.63
SOX2,63.93,265.4
SOX2,218.23,267.35
SOX2,272.06,267.91
SOX2: Ki67,355.17,269.74
SOX2: Ki67,227.5,272.61
SOX2,235.81,269.44
SOX2,195.39,268.92
SOX2,153.4,273.97
SOX2,244.71,269.71
Iba1,289.18,269.65
SOX2,76.98,269.67
SOX2: Ki67,308.68,270.46
Iba1,102.11,271.13
SOX2,52.27,270.28
SOX2: Ki67,15.37,273.3
SOX2,63.19,275.15
Iba1,280.67,273.29
Iba1,403.38,276
Iba1,91.19,275.26
SOX2,217.96,276.61
Iba1,111.41,279.23
SOX2,195.07,278.36
Iba1,99.04,277.6
SOX2,43.34,277.1
SOX2,259.02,276.42
SOX2,185.62,278.03
SOX2,294.81,279.63
