"Classification","xDim","yDim"
"PanCK",49.3543999999999,157.1319
"PanCK",65.5544,158.9319
"CD3",39.9544000000001,158.1319
"CD3",14.1543999999999,157.3319
"PanCK",4.6543999999999,159.0319
"CD3",142.5544,159.8319
"CD3",31.2544,163.9319
"PanCK",160.7544,164.4319
"PanCK",20.2544,165.7319
"PanCK",58.8543999999999,166.7319
"Neither",122.7544,164.9319
"PanCK",8.55439999999999,166.3319
"CD3",50.4544000000001,168.4319
"CD3",150.8544,166.1319
"CD3",80.5544,171.3319
"Neither",99.5544,171.7319
"CD3",181.9544,172.5319
"Neither",119.1544,172.4319
"PanCK",165.2544,172.7319
"PanCK",151.4544,173.0319
"PanCK",199.3544,176.2319
"PanCK",39.7544,175.8319
"PanCK",26.5544,176.6319
"CD3",110.2544,174.0319
"PanCK",171.6544,175.9319
"Neither",91.2544,174.7319
"CD3",160.1544,176.1319
"CD3",65.5544,177.0319
"PanCK",54.9544000000001,176.5319
"CD3",153.2544,179.5319
"PanCK",14.1543999999999,181.9319
"PanCK",48.9544000000001,180.6319
"CD3",80.5544,182.6319
"CD3",126.3544,181.6319
"CD3",206.2544,183.7319
"PanCK",147.2544,183.2319
"CD3",161.5544,182.3319
"CD3",55.3543999999999,184.7319
"CD3",65.1543999999999,186.3319
"PanCK",155.8544,187.2319
"CD3",166.7544,187.1319
"Neither",103.3544,187.4319
"CD3",54.0544,194.2319
"PanCK",162.3544,196.4319
"PanCK",24.2544,196.2319
"PanCK",154.4544,200.2319
"PanCK",178.3544,202.0319
"Neither",111.6544,202.4319
"PanCK",19.1543999999999,206.3319
"CD3",73.5544,204.8319
"PanCK",208.1544,205.3319
"PanCK",63.4544000000001,209.1319
"PanCK",147.9544,206.1319
"PanCK",165.8544,205.3319
"PanCK",31.9544000000001,204.9319
"PanCK",41.3543999999999,212.1319
"PanCK",51.2544,210.6319
"PanCK",7.45440000000008,209.6319
"CD3",142.4544,210.9319
"CD3",150.3544,218.6319
"PanCK",58.0544,222.7319
"CD3",32.2544,221.7319
"PanCK",18.7544,224.5319
"PanCK",43.8543999999999,225.6319
"PanCK",97.0544,224.1319
"PanCK",164.8544,226.5319
"PanCK",73.8543999999999,226.4319
"Neither",494.2544,0.231900000000223
"CD3",288.7544,0.331900000000132
"Neither",177.2544,0.631900000000314
"CD3",512.0544,1.13190000000031
"CD3",214.3544,-0.868099999999686
"CD3: CD8",306.2544,0.331900000000132
"CD3",409.2544,1.93190000000004
"CD3",450.4544,2.73190000000022
"Neither",536.0544,0.131900000000314
"Neither",253.3544,-0.268099999999777
"Neither",577.6544,0.931900000000041
"Neither",543.7544,3.33190000000013
"CD3: CD8",359.2544,6.33190000000013
"CD3: CD8",428.9544,4.63190000000031
"CD3",350.9544,4.63190000000031
"Neither",320.5544,5.03189999999995
"CD3",333.0544,5.03189999999995
"CD3: CD8",261.7544,4.83190000000013
"CD3: CD8",378.8544,3.83190000000013
"CD3: CD8",244.7544,3.33190000000013
"CD3",387.4544,7.43190000000004
"CD3",217.9544,7.23190000000022
"CD3",301.5544,8.33190000000013
"CD3: CD8",418.1544,7.83190000000013
"Neither",710.7544,5.13190000000031
"CD3: CD8",373.2544,8.43190000000004
"CD3",440.8544,6.43190000000004
"Neither",502.7544,7.83190000000013
"CD3",399.8544,7.53189999999995
"Neither",579.4544,7.03189999999995
"CD3",313.6544,7.83190000000013
"CD3",269.4544,9.53189999999995
"Neither",280.0544,9.83190000000013
"CD3: CD8",251.5544,10.2319000000002
"Neither",494.2544,11.5319
"Neither",289.3544,11.3319000000001
"Neither",547.6544,12.1319000000003
"Neither",515.7544,13.2319000000002
"CD3: CD8",407.2544,10.6319000000003
"Neither",633.3544,10.1319000000003
"Neither",308.6544,11.0319
"Neither",478.4544,11.6319000000003
"Neither",716.8544,12.2319000000002
"CD3",425.3544,12.9319
"Neither",581.4544,14.4319
"CD3: CD8",381.7544,13.6319000000003
"CD3",435.5544,14.2319000000002
"Neither",201.2544,13.7319000000002
"Neither",324.8544,13.9319
"Neither",332.0544,13.9319
"Neither",351.3544,14.3319000000001
"CD3: CD8",452.3544,13.5319
"Neither",509.4544,14.4319
"CD3",223.1544,15.8319000000001
"Neither",665.8544,14.7319000000002
"CD3",443.6544,16.0319
"Neither",644.0544,15.5319
"Neither",697.5544,15.3319000000001
"CD3",312.3544,17.0319
"CD3",368.5544,16.0319
"CD3: CD8",391.5544,16.7319000000002
"CD3: CD8",404.5544,18.3319000000001
"CD3: CD8",464.6544,17.6319000000003
"Neither",279.3544,17.6319000000003
"Neither",213.1544,18.3319000000001
"CD3",252.7544,19.1319000000003
"Neither",656.8544,19.9319
"Neither",672.4544,19.1319000000003
"Neither",297.1544,20.9319
"CD3: CD8",417.4544,20.8319000000001
"Neither",522.0544,20.3319000000001
"CD3",231.2544,20.6319000000003
"CD3: CD8",380.2544,20.4319
"Neither",544.2544,19.4319
"CD8",429.8544,19.8319000000001
"CD3: CD8",450.3544,21.1319000000003
"CD3: CD8",286.5544,22.7319000000002
"Neither",338.8544,20.6319000000003
"CD3: CD8",424.1544,20.5319
"Neither",507.2544,20.5319
"Neither",624.1544,21.8319000000001
"Neither",701.1544,22.2319000000002
"Neither",686.0544,21.0319
"CD3: CD8",394.9544,22.9319
"CD3: CD8",351.0544,23.8319000000001
"Neither",323.8544,22.5319
"Neither",361.2544,23.3319000000001
"CD3: CD8",435.1544,23.3319000000001
"Neither",472.8544,23.9319
"Neither",272.2544,24.0319
"PanCK: CD8",462.8544,25.3319000000001
"Neither",315.4544,25.9319
"Neither",594.4544,24.4319
"CD3: CD8",386.3544,25.1319000000003
"CD3: CD8",443.1544,26.6319000000003
"Neither",542.9544,24.8319000000001
"Neither",513.6544,26.5319
"Neither",376.2544,27.5319
"CD3: CD8",328.6544,27.0319
"CD3: CD8",413.4544,26.8319000000001
"Neither",703.2544,30.1319000000003
"PanCK",431.7544,27.4319
"Neither",493.9544,26.0319
"Neither",226.9544,29.3319000000001
"Neither",454.6544,29.9319
"CD3",502.5544,30.3319000000001
"Neither",575.8544,26.6319000000003
"Neither",215.9544,27.0319
"CD3: CD8",398.9544,28.8319000000001
"Neither",627.8544,29.3319000000001
"Neither",685.1544,28.4319
"CD3: CD8",405.3544,29.5319
"Neither",671.0544,28.0319
"CD3: CD8",391.8544,28.4319
"CD3",425.5544,30.6319000000003
"Neither",532.5544,28.5319
"Neither",486.5544,29.4319
"Neither",526.9544,29.0319
"Neither",521.1544,28.9319
"Neither",567.0544,29.0319
"Neither",363.3544,31.0319
"Neither",543.6544,30.0319
"CD3: CD8",330.7544,32.4319
"Neither",337.0544,32.3319000000001
"Neither",387.1544,32.2319000000002
"Neither",220.1544,32.9319
"Neither",467.6544,33.1319000000003
"CD3: CD8",411.6544,33.6319000000003
"CD3: CD8",443.2544,34.8319000000001
"Neither",574.1544,34.5319
"Neither",540.3544,34.7319000000002
"Neither",615.1544,34.0319
"Neither",519.1544,35.4319
"Neither",436.0544,35.4319
"CD3",396.8544,36.8319000000001
"Neither",254.1544,38.3319000000001
"Neither",476.5544,36.3319000000001
"Neither",603.1544,36.8319000000001
"Neither",352.8544,37.3319000000001
"CD3",419.3544,38.3319000000001
"Neither",568.6544,38.9319
"CD3",429.9544,38.2319000000002
"Neither",510.3544,38.2319000000002
"Neither",652.5544,37.6319000000003
"Neither",461.4544,39.6319000000003
"Neither",375.8544,41.7319000000002
"Neither",406.0544,40.2319000000002
"CD3: CD8",455.5544,39.8319000000001
"CD3: CD8",343.0544,38.9319
"CD3",190.5544,41.9319
"Neither",307.9544,40.8319000000001
"Neither",536.1544,41.1319000000003
"CD3",221.7544,41.2319000000002
"CD3",469.9544,42.6319000000003
"Neither",522.1544,45.2319000000002
"CD3",333.8544,42.6319000000003
"Neither",607.6544,43.0319
"Neither",618.7544,42.8319000000001
"Neither",639.8544,43.3319000000001
"Neither",660.6544,43.1319000000003
"Neither",582.9544,44.4319
"CD3: CD8",180.3544,42.8319000000001
"Neither",433.6544,44.4319
"CD3",422.5544,45.8319000000001
"Neither",592.2544,46.7319000000002
"Neither",396.3544,44.8319000000001
"Neither",547.6544,45.7319000000002
"CD3",315.0544,45.4319
"CD3",342.6544,47.0319
"Neither",603.7544,48.0319
"CD3",354.2544,48.3319000000001
"Neither",205.9544,50.3319000000001
"Neither",622.8544,50.9319
"CD3: CD8",332.2544,50.7319000000002
"Neither",500.0544,48.6319000000003
"CD3",181.9544,49.4319
"Neither",241.5544,49.1319000000003
"Neither",271.3544,49.6319000000003
"CD3",195.9544,55.1319000000003
"Neither",527.6544,52.8319000000001
"CD3",260.3544,51.4319
"CD3",346.3544,52.5319
"CD3: CD8",407.7544,51.2319000000002
"Neither",433.4544,52.7319000000002
"Neither",448.7544,52.3319000000001
"Neither",323.8544,55.2319000000002
"Neither",456.2544,55.9319
"PanCK",511.1544,54.5319
"Neither",615.3544,53.1319000000003
"CD3",376.7544,54.0319
"Neither",503.5544,54.1319000000003
"CD3",280.9544,54.6319000000003
"Neither",441.1544,55.1319000000003
"CD3",245.9544,56.5319
"CD8",388.6544,54.7319000000002
"CD3",418.6544,58.4319
"Neither",398.7544,55.6319000000003
"Neither",537.0544,55.3319000000001
"Neither",593.7544,59.6319000000003
"CD3",267.9544,57.5319
"Neither",484.9544,55.9319
"Neither",309.5544,59.8319000000001
"Neither",298.9544,61.0319
"CD3",343.7544,58.0319
"Neither",644.0544,60.7319000000002
"Neither",255.1544,59.2319000000002
"Neither",530.0544,61.6319000000003
"Neither",658.9544,61.8319000000001
"CD3",190.7544,61.7319000000002
"Neither",617.8544,63.4319
"CD3",290.1544,64.4319
"CD3",374.2544,63.4319
"CD3",359.4544,64.8319000000001
"Neither",520.7544,65.6319000000003
"Neither",602.7544,62.9319
"Neither",494.0544,62.8319000000001
"Neither",570.6544,63.0319
"CD3",348.2544,63.8319000000001
"Neither",432.8544,64.7319000000002
"Neither",505.0544,64.1319000000003
"CD3: CD8",249.6544,64.1319000000003
"CD3: CD8",398.6544,66.1319000000003
"Neither",219.0544,67.6319000000003
"CD3",267.1544,65.3319000000001
"Neither",696.4544,67.7319000000002
"CD3: CD8",387.3544,68.4319
"Neither",626.6544,68.2319000000002
"CD3",463.8544,70.1319000000003
"CD3",232.5544,70.2319000000002
"CD3",320.7544,68.7319000000002
"Neither",424.9544,71.1319000000003
"CD3",248.0544,71.2319000000002
"Neither",596.1544,69.3319000000001
"Neither",272.7544,70.7319000000002
"CD3: CD8",451.3544,69.7319000000002
"Neither",366.3544,70.4319
"Neither",532.7544,71.8319000000001
"Neither",344.0544,71.5319
"Neither",379.8544,70.9319
"Neither",313.3544,72.6319000000003
"CD3",279.6544,72.8319000000001
"Neither",575.6544,73.6319000000003
"Neither",330.0544,73.1319000000003
"Neither",501.2544,74.9319
"Neither",601.7544,72.2319000000002
"Neither",655.2544,74.1319000000003
