Classification,Parent,Centroid X µm,Centroid Y µm
,Annotation,814.88,214.64
,Annotation,1056.9,206.84
CD3,Annotation,879.67,207.63
,Annotation,892.37,203.75
,Annotation,846.85,207.12
,Annotation,888.04,209.46
,Annotation,905.44,208.09
,Annotation,1112.5,210.47
,Annotation,776.14,217.07
,Annotation,894.18,208.61
,Annotation,973.91,210.14
,Annotation,828.18,214.54
,Annotation,895.46,214.53
,Annotation,848.8,215.62
,Annotation,872.68,216.03
,Annotation,884.81,216.76
,Annotation,902.52,218.75
,Annotation,981.55,215.13
,Annotation,1057.8,219.57
,Annotation,971.64,219.81
,Annotation,962.51,220.23
,Annotation,1064.4,220.5
,Annotation,987.05,221.49
,Annotation,888.49,223.18
,Annotation,880.87,232.25
,Annotation,805.96,227.4
,Annotation,837.41,231.91
,Annotation,1115.9,229.97
,Annotation,895.27,232.23
,Annotation,966.79,228.82
,Annotation,785.17,230.05
,Annotation,754.12,230.64
,Annotation,863.19,233.52
,Annotation,1072.6,238.3
,Annotation,778.38,234.68
,Annotation,791.8,236.81
,Annotation,762.46,240.09
,Annotation,818.55,238.4
,Annotation,808.85,239.24
,Annotation,1131.6,240.36
,Annotation,785.34,243.02
,Annotation,857.6,239.59
,Annotation,851.87,240.91
,Annotation,927.96,243.59
,Annotation,960.84,240.92
,Annotation,967.92,242.26
,Annotation,974.81,241.23
,Annotation,990.4,242.74
,Annotation,903.27,244.59
,Annotation,1003.6,245.37
,Annotation,1129.8,247.67
,Annotation,945.06,244.43
,Annotation,872.79,246.23
,Annotation,881.6,248.52
,Annotation,1081.2,251.28
,Annotation,980.65,248.74
,Annotation,861.7,250.92
,Annotation,963.56,250.53
,Annotation,993.7,252.6
,Annotation,1007.2,255.42
,Annotation,948.31,259.48
,Annotation,984.53,257.8
,Annotation,871.11,257.11
,Annotation,967.48,259.74
,Annotation,1087.6,260.8
,Annotation,877.43,260.88
,Annotation,999.73,261.29
,Annotation,781.93,261.65
,Annotation,860.86,261.33
,Annotation,1125.8,263.52
,Annotation,868.77,266.6
,Annotation,1080.9,265.3
,Annotation,990.55,268.61
,Annotation,847.86,265.12
,Annotation,1095.7,277
,Annotation,774.06,272.2
,Annotation,1055.3,268.08
,Annotation,977.91,269.18
,Annotation,782.02,273.42
,Annotation,1007.6,270.88
,Annotation,998.82,271.74
,Annotation,1058.2,279.1
,Annotation,814.98,277.49
,Annotation,970.4,276.56
,Annotation,996.37,279.33
,Annotation,828.7,284.31
,Annotation,975.88,280
,Annotation,1003.9,280.67
,Annotation,1144.2,284.8
,Annotation,784.21,283.18
,Annotation,750.93,284.89
,Annotation,857.45,282.83
,Annotation,1012.2,283.58
,Annotation,988.33,284.26
,Annotation,821.93,287.59
,Annotation,998.74,288.22
,Annotation,850.77,289.11
,Annotation,1114.3,289.37
,Annotation,884.3,289.2
,Annotation,1018.1,289.54
,Annotation,785.57,289.09
,Annotation,980.57,291
,Annotation,960.97,292.35
,Annotation,1140.1,295.26
,Annotation,1009.2,291.88
,Annotation,1095.3,295.3
,Annotation,784.5,300.75
,Annotation,799.08,297.88
,Annotation,1006,297.82
,Annotation,1019.4,297.63
,Annotation,835.98,298.98
,Annotation,752.62,300.21
,Annotation,970.82,301.15
,Annotation,961.23,302.32
,Annotation,849.26,303.07
,Annotation,820.71,307.92
,Annotation,862.67,303.94
,Annotation,1013.6,302.89
,Annotation,874.81,304.03
,Annotation,802.67,309.82
,Annotation,1067.7,310.08
,Annotation,983.86,307.32
,Annotation,990.25,310.8
,Annotation,845.73,316.83
,Annotation,974.3,311.57
,Annotation,1118.9,316.07
,Annotation,871.05,321.27
,Annotation,855.14,316.38
,Annotation,980.98,316.18
,Annotation,990.79,319.25
,Annotation,818.48,319.01
,Annotation,832.16,323.42
,Annotation,1004.6,320.42
,Annotation,1108.3,327
,Annotation,1009.9,326.18
,Annotation,1023.8,331.83
,Annotation,762.53,331.22
,Annotation,1030.6,329.13
,Annotation,981.29,328.47
,Annotation,971.24,333.13
,Annotation,752.13,332.11
,Annotation,874.81,337.47
,Annotation,1143,332.07
,Annotation,792.24,332.7
,Annotation,835.3,335.63
,Annotation,884.86,343.86
,Annotation,1009.7,333.84
,Annotation,990.03,336.49
,Annotation,1033.2,340.91
,Annotation,781.02,341.33
,Annotation,755.21,340.11
,Annotation,1107.5,339.45
,Annotation,824.67,348.7
,Annotation,764.64,342.33
,Annotation,1014.4,341.87
,Annotation,863.35,343.6
,Annotation,909.53,345.41
,Annotation,942.09,345.34
,Annotation,1102.1,349.63
,Annotation,1019.8,348.1
,Annotation,792.57,349.07
,Annotation,1001.4,349.81
,Annotation,1030.1,350.81
,Annotation,993.78,350.52
,Annotation,863.73,352.34
,Annotation,872.85,351.74
,Annotation,913.35,356.84
,Annotation,988.74,355.33
,Annotation,1022.4,356.96
,Annotation,1036.1,357.35
,Annotation,854.61,361.14
,Annotation,1015.5,360.2
,Annotation,827.98,374.76
,Annotation,917.99,370.42
,Annotation,991.5,368.45
,Annotation,1001.1,364.67
,Annotation,1017.2,366.22
,Annotation,882.9,368.32
,Annotation,1038.2,366.24
,Annotation,1094.3,368.54
,Annotation,1003.9,371.89
