"Classification","xDim","yDim"
"PanCK",55.6460000000001,0.653599999999869
"PanCK",161.746,1.15359999999987
"PanCK",71.266,1.85359999999991
"CD3",248.676,0.353599999999915
"CD3",30.506,2.75360000000001
"CD3",175.666,3.35359999999991
"CD3",1.70600000000002,3.65359999999987
"PanCK",84.566,3.55359999999996
"PanCK",23.196,3.25360000000001
"PanCK",196.786,5.55359999999996
"PanCK",136.146,6.05359999999996
"CD3",38.766,4.65359999999987
"Neither",184.586,5.45360000000005
"Neither",146.716,6.65359999999987
"Neither",256.756,7.25360000000001
"PanCK",48.266,9.35359999999991
"PanCK",8.77600000000007,10.0536
"PanCK",62.4160000000001,9.25360000000001
"PanCK",17.2860000000001,9.25360000000001
"PanCK",88.546,11.5536
"CD3: CD8",217.996,10.8535999999999
"CD3: CD8",33.4760000000001,11.9536000000001
"CD3",78.876,14.4536000000001
"CD3: CD8",237.756,12.6535999999999
"CD3",40.076,12.2536
"PanCK",68.506,15.7536
"CD3: CD8",153.456,15.1535999999999
"PanCK",194.766,17.6535999999999
"CD3",19.6460000000001,16.3535999999999
"CD3",164.276,16.7536
"PanCK",53.496,19.8535999999999
"PanCK",40.886,21.4536000000001
"CD3",234.246,23.8535999999999
"PanCK",24.766,20.2536
"Neither",178.666,22.8535999999999
"PanCK",10.3560000000001,21.7536
"PanCK",99.046,22.1535999999999
"PanCK",79.9660000000001,24.5536
"CD3: CD8",89.436,26.1535999999999
"CD3",253.046,23.7536
"Neither",160.626,25.0536
"CD3",63.5360000000001,28.5536
"CD3: CD8",186.806,28.3535999999999
"PanCK",15.326,28.5536
"PanCK",23.486,31.6535999999999
"CD3",113.026,29.4536000000001
"CD3",103.666,30.8535999999999
"PanCK",46.676,32.7536
"PanCK",172.716,34.7536
"CD3",121.296,35.7536
"PanCK",79.456,37.6535999999999
"CD3",69.516,37.6535999999999
"CD3",136.036,38.9536000000001
"PanCK",102.576,40.2536
"PanCK",111.626,41.8535999999999
"PanCK",14.3960000000001,40.1535999999999
"PanCK",34.8460000000001,41.4536000000001
"CD3",250.836,43.0536
"CD3",76.1060000000001,45.9536000000001
"PanCK",120.026,44.8535999999999
"CD3",190.696,45.2536
"CD3",149.896,49.1535999999999
"PanCK",95.796,48.7536
"CD3: CD8",173.816,48.2536
"CD3",207.226,51.0536
"PanCK",105.416,51.3535999999999
"CD3",47.0960000000001,55.0536
"CD3",167.566,53.9536000000001
"PanCK",131.106,57.1535999999999
"PanCK",113.226,55.8535999999999
"PanCK",39.506,53.8535999999999
"PanCK",161.906,58.2536
"Neither",214.816,58.1535999999999
"CD3",185.126,59.7536
"CD3",143.976,59.0536
"CD3",152.816,62.7536
"PanCK",15.7260000000001,64.5536
"PanCK",165.056,64.6535999999999
"PanCK",74.456,65.8535999999999
"CD3",170.706,70.3535999999999
"PanCK",139.346,67.6535999999999
"PanCK",130.736,66.4536000000001
"PanCK",29.616,67.3535999999999
"CD3",187.486,70.0536
"PanCK",158.366,70.7536
"CD3",89.376,74.7536
"CD3",111.726,76.9536000000001
"PanCK",3.20600000000002,75.1535999999999
"CD3",181.536,75.9536000000001
"PanCK",20.256,78.9536000000001
"CD3",198.806,80.3535999999999
"PanCK",61.256,82.1535999999999
"PanCK",97.1460000000001,82.8535999999999
"PanCK",151.796,83.4536000000001
"PanCK",189.416,83.7536
"Neither",259.306,85.2536
"Neither",553.976,0.353599999999915
"CD3: CD8",309.416,2.25360000000001
"Neither",414.916,3.05359999999996
"CD3: CD8",320.396,1.75360000000001
"Neither",504.166,1.05359999999996
"CD3: CD8",276.606,0.55359999999996
"Neither",713.776,2.25360000000001
"Neither",478.516,0.753600000000006
"Neither",329.816,0.55359999999996
"Neither",620.766,2.45360000000005
"CD3: CD8",284.966,4.15359999999987
"Neither",721.476,3.95360000000005
"Neither",586.686,3.75360000000001
"Neither",527.446,5.15359999999987
"Neither",627.946,5.95360000000005
"Neither",538.646,6.45360000000005
"Neither",656.066,9.25360000000001
"Neither",477.086,8.55359999999996
"Neither",614.746,7.95360000000005
"Neither",728.276,6.65359999999987
"Neither",329.096,9.35359999999991
"Neither",546.246,7.45360000000005
"CD3: CD8",300.406,7.35359999999991
"Neither",273.796,9.35359999999991
"Neither",575.746,7.75360000000001
"CD3: CD8",294.356,9.65359999999987
"Neither",583.946,11.1535999999999
"Neither",517.056,10.7536
"Neither",592.466,11.5536
"CD3: CD8",306.876,12.5536
"CD3",692.676,13.0536
"Neither",732.676,11.6535999999999
"Neither",571.606,15.7536
"Neither",653.006,19.1535999999999
"Neither",701.576,14.6535999999999
"Neither",724.876,14.6535999999999
"Neither",401.166,16.0536
"Neither",444.826,16.3535999999999
"Neither",597.596,15.7536
"Neither",737.076,19.0536
"Neither",622.996,22.3535999999999
"Neither",547.086,18.9536000000001
"Neither",350.546,18.7536
"Neither",684.276,19.0536
"Neither",368.666,20.9536000000001
"Neither",715.376,21.1535999999999
"Neither",564.396,20.8535999999999
"Neither",592.116,20.9536000000001
"Neither",637.406,22.2536
"Neither",725.476,25.9536000000001
"Neither",708.076,28.3535999999999
"Neither",278.036,24.8535999999999
"CD3",358.956,25.9536000000001
"Neither",603.496,27.2536
"Neither",448.906,24.5536
"Neither",341.896,28.0536
"Neither",644.636,30.2536
"Neither",484.396,28.3535999999999
"CD3",462.456,27.2536
"Neither",443.066,28.7536
"Neither",525.626,29.1535999999999
"Neither",284.246,31.5536
"Neither",732.576,31.8535999999999
"Neither",614.136,30.3535999999999
"Neither",476.416,34.1535999999999
"Neither",740.576,32.6535999999999
"Neither",623.596,36.8535999999999
"Neither",467.316,34.4536000000001
"Neither",557.476,34.1535999999999
"Neither",569.436,35.7536
"Neither",294.966,35.3535999999999
"Neither",579.086,35.3535999999999
"CD3",307.606,36.9536000000001
"Neither",701.676,36.5536
"Neither",354.886,35.5536
"Neither",522.266,38.2536
"Neither",380.356,39.6535999999999
"Neither",729.876,40.3535999999999
"Neither",422.536,39.3535999999999
"Neither",359.256,42.6535999999999
"CD3",282.486,41.1535999999999
"Neither",658.636,43.8535999999999
"Neither",630.256,49.4536000000001
"Neither",427.546,45.3535999999999
"CD3: CD8",328.266,46.3535999999999
"Neither",712.976,49.5536
"Neither",406.796,47.9536000000001
"CD3: CD8",321.076,49.9536000000001
"Neither",467.776,53.3535999999999
"CD3",224.326,54.5536
"Neither",560.686,56.0536
"Neither",525.606,56.2536
"CD3: CD8",383.696,56.7536
"Neither",657.716,58.5536
"Neither",365.416,58.0536
"Neither",642.166,67.4536000000001
"Neither",461.176,62.4536000000001
"Neither",543.666,64.9536000000001
"Neither",224.066,63.9536000000001
"Neither",481.966,64.5536
"CD3",620.206,66.8535999999999
"PanCK",269.366,68.3535999999999
"Neither",664.686,69.4536000000001
"Neither",380.796,68.5536
"CD3",589.446,67.4536000000001
"Neither",526.966,67.9536000000001
"Neither",463.986,71.4536000000001
"Neither",432.296,71.4536000000001
"Neither",260.386,74.9536000000001
"Neither",517.296,74.6535999999999
"Neither",448.736,74.8535999999999
"Neither",506.796,75.5536
"CD3: CD8",251.476,78.2536
"Neither",592.236,77.2536
"Neither",601.636,79.9536000000001
"Neither",431.886,81.0536
"Neither",543.636,81.1535999999999
"Neither",579.476,83.1535999999999
"PanCK",533.506,82.9536000000001
"CD3",454.146,83.5536
"Neither",611.896,83.2536
"Neither",589.706,84.3535999999999
"CD3",54.886,40.1535999999999
"PanCK",127.916,44.8535999999999
"CD3",159.996,43.3535999999999
"CD3",143.326,43.2536
"PanCK",43.636,43.9536000000001
"CD3",51.0260000000001,46.4536000000001
"PanCK",68.316,47.3535999999999
"CD3",184.266,46.6535999999999
"PanCK",85.426,49.0536
"CD3",199.416,47.0536
"PanCK",13.3560000000001,50.1535999999999
"PanCK",115.796,50.1535999999999
"CD3",180.986,52.0536
"PanCK",138.626,51.5536
"CD3",160.216,51.7536
"PanCK",32.4060000000001,51.2536
"CD3",244.846,53.7536
"PanCK",3.08600000000007,53.7536
"PanCK",193.926,54.5536
"PanCK",91.7860000000001,59.1535999999999
"CD3",99.886,55.7536
"PanCK",37.516,59.3535999999999
"CD3: CD8",204.096,61.6535999999999
"PanCK",119.026,62.2536
"CD3",173.576,59.6535999999999
"CD3",105.066,62.8535999999999
"PanCK",83.5960000000001,61.6535999999999
"CD3",194.306,63.9536000000001
"PanCK",62.486,64.8535999999999
"CD3",46.1660000000001,68.1535999999999
"PanCK",5.61600000000004,66.6535999999999
"PanCK",126.016,69.1535999999999
"PanCK",179.976,68.7536
"CD3",197.456,71.6535999999999
"PanCK",99.366,71.0536
"PanCK",147.796,73.8535999999999
"Neither",223.536,73.5536
"CD3",55.246,75.3535999999999
"CD3",121.696,77.1535999999999
"PanCK",133.186,77.4536000000001
"PanCK",35.326,77.1535999999999
"PanCK",71.436,77.0536
"CD3",160.736,78.3535999999999
"PanCK",173.476,83.2536
"CD3",180.626,83.1535999999999
"CD3",141.946,84.3535999999999
"PanCK",5.72600000000006,85.2536
"CD3",125.366,86.8535999999999
"PanCK",33.6660000000001,87.4536000000001
"PanCK",19.5360000000001,89.4536000000001
"PanCK",220.396,88.0536
"PanCK",87.796,88.5536
"PanCK",135.016,91.0536
"PanCK",72.0960000000001,90.5536
"CD3",102.526,90.8535999999999
"PanCK",114.486,91.0536
"PanCK",51.756,91.0536
"CD3",157.686,91.4536000000001
"CD3",249.956,93.1535999999999
"CD3",198.216,95.2536
"PanCK",169.106,93.5536
"PanCK",148.566,93.8535999999999
"CD3",186.026,94.7536
"CD3",84.0260000000001,95.3535999999999
"CD3",61.4160000000001,96.4536000000001
"PanCK",0.546000000000049,96.9536000000001
"CD3",120.176,100.6536
"PanCK",34.266,101.9536
"CD3",164.426,100.4536
"CD3",177.896,101.7536
"CD3",80.736,100.1536
"PanCK",138.076,100.9536
"PanCK",111.006,100.1536
"PanCK",155.406,102.5536
"PanCK",23.506,100.5536
"PanCK",128.306,105.0536
"PanCK",19.1060000000001,107.0536
"CD3",254.516,107.1536
"CD3",54.0860000000001,105.2536
"PanCK",77.306,105.9536
"CD3",169.946,104.5536
"PanCK",107.976,107.4536
"CD3",99.3960000000001,105.4536
"CD3: CD8",189.256,106.0536
"CD3",235.916,108.1536
"PanCK",65.266,109.8536
"PanCK",147.506,108.5536
"CD3",93.6060000000001,109.1536
"CD3",170.886,114.6536
"PanCK",5.04600000000005,110.7536
"CD3",197.766,111.1536
