"Classification","xDim","yDim"
"CD3: CD8",223.82,3.628
"Neither",246.04,3.41
"CD3: CD8",271.67,5.749
"CD3",320.1,4.153
"Neither",386.58,3.261
"Neither",455.59,2.879
"CD3: CD8",149.96,4.465
"Neither",209.03,3.045
"CD3: CD8",259.79,6.343
"Neither",284.02,5.179
"CD3",488.9,4.607
"CD3: CD8",500.22,3.998
"Neither",119.5,3.26
"CD3",215.68,3.728
"CD3",358.37,4.918
"CD3",233.32,4.272
"CD3: CD8",337.9,4.409
"Neither",447.01,5.51
"Neither",131.62,4.258
"CD3",370.87,6.158
"CD3",169.37,7.386
"Neither",469.22,7.515
"CD3",190.17,10.79
"Neither",574.72,8.76
"Neither",380.27,6.393
"Neither",433.78,7.444
"CD3",508.76,9.157
"CD3: CD8",178.76,7.716
"Neither",121.44,10.01
"Neither",455.44,11.65
"Neither",225.63,12.3
"CD3",342.76,9.003
"CD3: CD8",240.16,11.67
"CD3: CD8",412.24,11.78
"Neither",153.11,11.89
"Neither",518.9,10.77
"Neither",481.16,13.21
"CD3",161.43,13.3
"CD3: CD8",131.03,14.95
"CD3",350.89,12.05
"Neither",337.1,13.24
"Neither",368.37,13.6
"Neither",384.56,15.4
"PanCK",73.9,14.68
"CD3",257.06,16.07
"Neither",432.43,15.49
"Neither",174.68,15.29
"Neither",246.26,17.66
"CD3",277.7,17.18
"CD3: CD8",342.23,17.42
"Neither",232.95,17.69
"Neither",313.19,19.76
"Neither",361.96,18.77
"CD3: CD8",516.42,19.76
"CD3: CD8",228.16,21.69
"CD3",470.3,17.96
"Neither",209.6,21.94
"CD3",455.21,21.67
"CD3",501.84,20.68
"Neither",405.92,21.12
"Neither",349.71,21.89
"CD3: CD8",179.3,23.17
"CD3",190.56,23.3
"Neither",550.82,23.17
"Neither",98.74,23.56
"CD3",157.91,22.3
"Neither",238.79,23
"CD3",393.38,24.5
"CD3",420.48,23.18
"Neither",478.7,24.95
"Neither",251.16,24.5
"Neither",430.34,21.7
"CD3",468.42,23.24
"CD3: CD8",221.3,23.46
"CD3: CD8",446.05,22.52
"CD3: CD8",201.1,28.28
"CD3",325.92,24.51
"Neither",534.7,25.33
"CD3: CD8",380.46,27.51
"CD3",338.77,25.32
"PanCK",55.01,23.5
"Neither",275.21,29.06
"CD3",437.5,29.73
"Neither",463.65,25.24
"PanCK",48.25,27.3
"CD3: CD8",148.04,27.87
"PanCK",58.4,29.04
"Neither",237.45,29.75
"CD3",332.33,28.92
"CD3",412.7,31.36
"Neither",501.11,29.13
"CD3",348.89,29.13
"CD3",406.13,28.8
"Neither",447.05,32.59
"Neither",484.34,30.43
"CD3: CD8",182.83,32.75
"CD3: CD8",317.65,31.74
"CD3",223.3,31.03
"CD3",466.62,31.4
"Neither",242.06,38.86
"CD3: CD8",397.41,32.78
"CD3: CD8",456.2,32.21
"CD3: CD8",212.32,31.99
"CD3: CD8",355.33,33.07
"PanCK",29.82,33.58
"Neither",113.18,34.11
"CD3",265.44,35.08
"CD3",336.73,33.4
"PanCK",39.45,33.45
"CD3",310.47,32.65
"CD3: CD8",325.97,37.26
"CD3",50.1,35.87
"Neither",132.24,36.66
"CD3: CD8",370.98,34.78
"Neither",501.2,36.86
"CD3",84.94,35.03
"Neither",553.34,36.74
"CD8",377.99,37.66
"CD3: CD8",385.98,35.67
"CD3",66.63,38.85
"Neither",215.99,39.51
"CD3",309.6,39.02
"CD3: CD8",402.49,38.18
"Neither",150.25,38.12
"CD3",338.53,39.77
"Neither",476.56,40.95
"Neither",460.34,38.4
"CD3",91.52,40.31
"CD3",223.79,39.82
"CD3",331.53,39.53
"CD3: CD8",363.52,39.62
"Neither",424.24,39.12
"CD3: CD8",231.15,41.75
"CD3: CD8",392.6,42.11
